'perfect' gold bar;lingotto d'oro "perfetto".
Adamant hasta(p++);Hasta irremovibile(p++)
Adamant helm (h2);Elmo irremovibile (h2)
Adamant helm (h3);Elmo irremovibile (h3)
Adamant helm (h1);Elmo irremovibile (h1)
Adamant javelin;Giavellotto irremovibile
Adamant javelin(p+);Giavellotto irremovibile(p+)
Adamant javelin(p++);Giavellotto adamantino(p++)
Adamant kiteshield;Scudo da aquilone irremovibile
Adamant kiteshield (g);Scudo da aquilone irremovibile (g)
Adamant knife(p+);Coltello irremovibile(p+)
Adamant knife(p++);Coltello irremovibile(p++)
Adamant kiteshield (t);Scudo da aquilone irremovibile (t)
Adamant javelin(p);Giavellotto irremovibile (p)
Adamant knife;Coltello irremovibile
Adamant knife(p);Coltello irremovibile(p)
Adamant longsword;Spada lunga irremovibile
Adamant mace;Mazza irremovibile
Adamant pickaxe;Piccone irremovibile
Adamant platebody (h3);Corpo piatto irremovibile (h3)
Adamant platebody (h2);Corpo piatto irremovibile (h2)
Adamant platebody (h1);Corpo piatto irremovibile (h1)
Adamant platebody (g);Corpo piatto irremovibile (g)
Adamant med helm;Elmo medico irremovibile
Adamant pick head;Testa di piccone irremovibile
Adamant platebody;Corpo piatto irremovibile
Adamant platebody (t);Corpo piatto irremovibile (t)
Adamant platelegs (g);Gambe a piastra irremovibili (g)
Adamant plateskirt;Gonna a piastre irremovibile
Adamant platelegs;Gambe a piastra irremovibili
Adamant plateskirt (t);Gonna a piastre irremovibile (t)
Adamant plateskirt (g);Gonna a piastre irremovibile (g)
Adamant scimitar;Scimitarra adamantina
Adamant platelegs (t);Gambe a piastra irremovibili (t)
Adamant platebody (h4);Corpo piatto irremovibile (h4)
Adamant platebody (h5);Corpo piatto irremovibile (h5)
Adamant set (sk);Set irremovibile (sk)
Adamant shield (h3);Scudo irremovibile (h3)
Adamant shield (h5);Scudo irremovibile (h5)
Adamant set (lg);Set Adamant (lg)
Adamant shield (h4);Scudo irremovibile (h4)
Adamant spear(kp);Lancia adamantina (kp)
Adamant spear(p);Lancia adamantina (p)
Adamant shield (h1);Scudo irremovibile (h1)
Adamant shield (h2);Scudo irremovibile (h2)
Adamant spear;Lancia adamantina
Adamant warhammer;Martello da guerra irremovibile
Adamant trimmed set (sk);Set rifinito Adamant (sk)
Adamant sword;Spada irremovibile
Adamant spear(p++);Lancia adamantina(p++)
Adamant sq shield;Scudo quadrato irremovibile
Adamant trimmed set (lg);Set con finitura Adamant (lg)
Adamantite armour;Armatura di Adamantite
Adamantite bar;Barra Adamantite
Adamant spear(p+);Lancia adamantina(p+)
Adamant thrownaxe;Ascia da lancio irremovibile
Adamantite ore fragment;Frammento di minerale di Adamantite
Admiral pie;Torta dell'Ammiraglio
Adamantite nails;Chiodi Adamantiti
Adamantite ore;Minerale di Adamantite
Address form;Modulo indirizzo
Address label;Etichetta dell'indirizzo
Advanced arena;Arena avanzata
Agility arena ticket;Biglietto per l'Agility Arena
Adamantite limbs;Membra adamantite
Afro;Afro
Agility hood;Cappuccio di agilità
Agility potion(1);Pozione di agilità(1)
Agility mix(1);Mix di agilità(1)
Agility climb;Salita in agilità
Agility balance;Equilibrio di agilità
Agility cape(t);Mantello di agilità(t)
Agility contortion;Contorsione dell'agilità
Agility jump;Salto di agilità
Agility cape;Mantello di agilità
Agility mix(2);Mix di agilità(2)
Ahrim's hood 100;Il cappuccio di Ahrim 100
Ahrim's hood;Il cappuccio di Ahrim
Agility potion(2);Pozione di agilità(2)
Agility potion(3);Pozione di agilità(3)
Ahab's beer;La birra di Achab
Ahrim's armour set;Set armatura di Ahrim
Agility tome;Tomo sull'agilità
Ahrim's hood 0;Il cappuccio di Ahrim 0
Ahrim's hood 25;Il cappuccio di Ahrim 25
Agility potion(4);Pozione di agilità(4)
Ahrim's robetop;La vestaglia di Ahrim
Ahrim's robeskirt 25;La veste-gonna di Ahrim 25
Ahrim's robetop 0;La vestaglia di Ahrim 0
Ahrim's hood 75;Il cappuccio di Ahrim 75
Ahrim's robeskirt 0;La vestaglia di Ahrim 0
Ahrim's robeskirt 50;La gonna-vestaglia di Ahrim 50
Ahrim's robeskirt 100;Gonna-veste di Ahrim 100
Ahrim's robeskirt;La gonna-vestaglia di Ahrim
Ahrim's robeskirt 75;La gonna-vestaglia di Ahrim 75
Ahrim's hood 50;Il cappuccio di Ahrim 50
Ahrim's staff;Il bastone di Ahrim
Ahrim's robetop 50;La vestaglia di Ahrim 50
Ahrim's robetop 75;La vestaglia di Ahrim 75
Ahrim's staff 100;Bastone di Ahrim 100
Ahrim's staff 50;Bastone di Ahrim 50
Ahrim's robetop 100;La vestaglia di Ahrim 100
Ahrim's staff 0;Bastone di Ahrim 0
Ahrim's robetop 25;La vestaglia di Ahrim 25
Ahrim's staff 25;Bastone di Ahrim 25
Ahrim's staff 75;Bastone di Ahrim 75
Air battlestaff;Bastone da battaglia aerea
Aivas' diary;Il diario di Aivas
Air rune pack;Pacchetto rune dell'aria
Air talisman;Talismano dell'aria
Aivas bust;Busto di Aiva
Air tiara;Diadema d'aria
Airtight pot;Pentola ermetica
Air rune;Runa dell'aria
Air rune (nz);Runa dell'aria (nz)
Air orb;Sfera aerea
Alchemical notes;Note alchemiche
Al kharid flyer;Volantino Al Kharid
Alchemical chart;Carta alchemica
Alchemical hydra head;Testa di Idra alchemica
Amethyst;Ametista
Aluft aloft box;Scatola in alto in alto
Alchemical hydra heads;Teste di idra alchemica
Ale yeast;Lievito di birra
Alco-chunks;Pezzi di alcol
Ale of the gods;Birra degli dei
Amethyst fire arrow;Freccia di fuoco di ametista
Amethyst fire arrow (lit);Freccia di fuoco di ametista (accesa)
Amethyst arrow(p++);Freccia di ametista(p++)
Amethyst bolt tips;Punte dei bulloni in ametista
Amethyst javelin;Giavellotto di ametista
Amethyst arrow(p);Freccia di ametista(p)
Amethyst arrowtips;Punte di freccia di ametista
Amethyst broad bolts;Bulloni larghi di ametista
Amethyst arrow(p+);Freccia di ametista(p+)
Amethyst arrow;Freccia di ametista
Amethyst javelin(p+);Giavellotto di ametista(p+)
Amethyst javelin heads;Teste di giavellotto di ametista
Amethyst javelin(p++);Giavellotto di ametista(p++)
Ammo mould;Muffa delle munizioni
Amulet mould;Stampo per amuleto
Amulet of accuracy;Amuleto della precisione
Amulet of avarice;Amuleto dell'avarizia
Amulet of blood fury;Amuleto della furia sanguigna
Amethyst javelin(p);Giavellotto di ametista(p)
Ammonium nitrate;Nitrato di ammonio
Amulet of eternal glory;Amuleto della gloria eterna
Amulet of fury;Amuleto della furia
Amulet of fury (or);Amuleto della furia (o)
Amulet of glory;Amuleto di gloria
Amulet of bounty;Amuleto di generosità
Amulet of defence (t);Amuleto di difesa (t)
Amulet of defence;Amuleto di difesa
Amulet of glory (t);Amuleto della gloria (t)
Amulet of chemistry;Amuleto della chimica
Amulet of doomion;Amuleto di sventura
Amulet of glory(1);Amuleto della gloria(1)
Amulet of glory (t2);Amuleto della gloria (t2)
Amulet of glory(4);Amuleto della gloria(4)
Amulet of glory (t5);Amuleto della gloria (t5)
Amulet of glory (t1);Amuleto della gloria (t1)
Amulet of glory(2);Amuleto della gloria(2)
Amulet of glory (t3);Amuleto della gloria (t3)
Amulet of glory (t4);Amuleto della gloria (t4)
Amulet of glory (t6);Amuleto della gloria (t6)
Amulet of glory(3);Amuleto della gloria(3)
Amulet of holthion;Amuleto di Holthion
Amulet of magic;Amuleto della magia
Amulet of nature;Amuleto della natura
Amulet of magic (t);Amuleto della magia (t)
Amulet of power;Amuleto del potere
Amulet of power (t);Amuleto del potere (t)
Amulet of strength;Amuleto della forza
Amulet of othanian;Amuleto di Othanian
Amulet of glory(5);Amuleto della gloria(5)
Amulet of glory(6);Amuleto della gloria(6)
Amulet of torture;Amuleto della tortura
Amy's saw;La sega di Amy
Amylase crystal;Cristallo di amilasi
Amur leopard toy;Giocattolo leopardo dell'Amur
Amylase pack;Pacchetto di amilasi
Amulet of the damned (full);Amuleto dei dannati (completo)
Amulet of torture (or);Amuleto della tortura (o)
An empty box;Una scatola vuota
Amulet of the damned;Amuleto dei dannati
An empty folder;Una cartella vuota
An orange circle;Un cerchio arancione
Ancestral hat;Cappello ancestrale
Ana in a barrel;Ana in un barile
An indigo square;Un quadrato indaco
An orange square;Un quadrato arancione
An indigo triangle;Un triangolo indaco
An orange triangle;Un triangolo arancione
An indigo circle;Un cerchio indaco
Ancestral key;Chiave ancestrale
An indigo pentagon;Un pentagono indaco
Anchovies;Acciughe
Ancient astroscope;Astroscopio antico
Anchovy oil;Olio di acciughe
Ancestral robes set;Set di vesti ancestrali
Anchovy pizza;Pizza alle acciughe
Ancient altar;Antico altare
Anchovy paste;Pasta d'acciughe
Ancient armour;Armatura antica
Ancestral robe top;Parte superiore della veste ancestrale
Ancestral robe bottom;Fondo della veste ancestrale
Ancient carcanet;Carcanet antico
Ancient crystal;Cristallo antico
Ancient coin;Moneta antica
Ancient chaps;Ragazzi antichi
Ancient cloak;Mantello antico
Ancient blessing;Antica benedizione
Ancient bracers;Bracciali antichi
Ancient casket;Cofanetto antico
Ancient coif;Cuffia antica
Ancient crozier;Antico pastorale
Ancient full helm;Antico elmo completo
Ancient d'hide boots;Antichi stivali di cuoio
Ancient d'hide shield;Antico scudo in cuoio
Ancient diary;Diario antico
Ancient dragonhide set;Set antico di pelle di drago
Ancient effigy;Effigie antica
Ancient d'hide body;Antico corpo in pelle
Ancient gorilla greegree;Greco antico del gorilla
Ancient emblem;Antico stemma
Ancient globe;Globo antico
Ancient ledger;Libro mastro antico
Ancient letter;Lettera antica
Ancient halo (l);Aureola antica (l)
Ancient medallion;Medaglione antico
Ancient halo;Aureola antica
Ancient kiteshield;Antico scudo da aquilone
Ancient halo (broken);Aureola antica (rotta)
Ancient mace;Mazza antica
Ancient key;Chiave antica
Ancient magicks tablet;Antica tavoletta magica
Ancient note;Nota antica
Ancient page 2;Antica pagina 2
Ancient page 3;Antica pagina 3
Ancient platelegs;Antiche gambe a piastre
Ancient page 1;Antica pagina 1
Ancient page;Pagina antica
Ancient plateskirt;Gonna a piastre antica
Ancient page 4;Antica pagina 4
Ancient mitre;Mitra antica
Ancient platebody;Antico corpo piatto
Ancient statuette;Statuetta antica
Ancient signet;Sigillo antico
Ancient staff;Bastone antico
Ancient rune armour set (lg);Set di armature runiche antiche (lg)
Ancient shard;Frammento antico
Ancient relic;Reliquia antica
Ancient robe legs;Gambe di vesti antiche
Ancient robe top;Parte superiore della vestaglia antica
Ancient rune armour set (sk);Set di armature runiche antiche (sk)
Ancient stole;Stola antica
Anger mace;Mazza di rabbia
Anger battleaxe;Ascia da battaglia della rabbia
Ancient talisman;Talismano antico
Ancient wyvern shield;Scudo antico della viverna
Anger spear;Lancia della rabbia
Ancient tablet;Tavoletta antica
Ancient writings;Scritti antichi
Ancient totem;Totem antico
Ancient symbol;Simbolo antico
Ancient treatise;Trattato antico
Anguish ornament kit;Kit ornamento angoscia
Animate rock scroll;Animare il rotolo di rocce
Angler top;Parte superiore del pescatore
Angler boots;Stivali da pescatore
Anger sword;Spada della rabbia
Angler waders;Trampolieri del pescatore
Anglerfish;Rana pescatrice
Animal skull;Cranio animale
Animals' bones;Ossa di animali
Angler hat;Cappello da pescatore
Anti-dragon shield (nz);Scudo anti-drago (nz)
Ankou gloves;Guanti Ankou
Ankou top;Anko in alto
Anna's print;L'impronta di Anna
Anti-dragon shield;Scudo anti-drago
Ankou mask;Maschera Ankou
Ankou socks;Calzini Ankou
Annakarl teleport;Teletrasporto di Annakarl
Anti-panties;Anti-mutandine
Ankou's leggings;I leggings di Ankou
Anti-venom+(1);Anti-veleno+(1)
Anti-venom+(3);Anti-veleno+(3)
Anti-present;Anti-presente
Anti-poison supermix(1);Supermix antiveleni(1)
Anti-venom(2);Anti-veleno(2)
Anti-venom(1);Anti-veleno(1)
Anti-venom(4);Anti-veleno(4)
Anti-venom(3);Anti-veleno(3)
Anti-poison supermix(2);Supermix antiveleni(2)
Anti-venom+(2);Anti-veleno+(2)
Antidote++ (unf);Antidoto++ (unf)
Antidote+(2);Antidoto+(2)
Anti-venom+(4);Anti-veleno+(4)
Antidote+ mix(1);Miscela antidoto+(1)
Antidote+(1);Antidoto+(1)
Antidote+ (unf);Antidoto+ (unf)
Antidote+ mix(2);Miscela antidoto+(2)
Antidote++(1);Antidoto++(1)
Antidote+(3);Antidoto+(3)
Antidote+(4);Antidoto+(4)
Antifire mix(2);Miscela antincendio(2)
Antidote++(3);Antidoto++(3)
Antidote++(4);Antidoto++(4)
Antifire potion(3);Pozione antincendio(3)
Antipoison mix(1);Miscela antiveleno(1)
Antifire mix(1);Miscela antincendio(1)
Antidote++(2);Antidoto++(2)
Antifire potion(2);Pozione antincendio(2)
Antifire potion(1);Pozione antincendio(1)
Antifire potion(4);Pozione antincendio(4)
Antipoison(2);Antiveleno(2)
Antique emblem (tier 1);Emblema antico (livello 1)
Antique emblem (tier 10);Emblema antico (livello 10)
Antipoison mix(2);Miscela antiveleno(2)
Antique emblem (tier 3);Emblema antico (livello 3)
Antipoison(1);Antiveleno(1)
Antique emblem (tier 2);Emblema antico (livello 2)
Antique emblem (tier 4);Emblema antico (livello 4)
Antipoison(3);Antiveleno(3)
Antipoison(4);Antiveleno(4)
Antisanta mask;Maschera anti-Babbo Natale
Antique emblem (tier 9);Emblema antico (livello 9)
Antique lamp;Lampada antica
Antique emblem (tier 6);Emblema antico (livello 6)
Antique emblem (tier 5);Emblema antico (livello 5)
Antisanta boots;Stivali anti-Babbo Natale
Antisanta jacket;Giacca anti-Babbo Natale
Antique emblem (tier 7);Emblema antico (livello 7)
Antisanta gloves;Guanti anti Babbo Natale
Antique emblem (tier 8);Emblema antico (livello 8)
Apple seedling;Piantina di mele
Apple mush;Polpa di mele
Apple seedling (w);Piantina di mela (w)
Apple sapling;Alberello di mele
Apple barrel;Barile di mela
Antisanta's coal box (full);Scatola del carbone di Anti Babbo Natale (completa)
Apple pie;Torta di mele
Antisanta pantaloons;Pantaloni anti-Babbo Natale
Ape atoll teleport;Teletrasporto dell'atollo delle scimmie
Antisanta's coal box;La scatola del carbone di Antisanta
Apricot cream pie;Torta alla crema di albicocche
Apples(2);Mele(2)
Apples(4);Mele(4)
Arcane prayer scroll;Rotolo di preghiera arcana
Apple tree seed;Seme di melo
Apples(1);Mele(1)
Apples(3);Mele(3)
Apples(5);Mele(5)
Apprentice wand;Bacchetta da apprendista
Arachnids of vampyrium;Aracnidi del vampiro
Archaic emblem (tier 1);Emblema arcaico (livello 1)
Arceuus favour certificate;Certificato di favore di Arceuus
Arceuus signet;Sigillo di Arceuus
Arceuus banner;Stendardo di Arceuus
Arceuus scarf;Sciarpa di Arceuus
Archaeologist's diary;Il diario dell'archeologo
Arcane spirit shield;Scudo spirituale arcano
Arceuus hood;Cappuccio Arceuus
Arcenia root;Radice di Arcenia
Arcane sigil;Sigillo arcano
Archaic emblem (tier 6);Emblema arcaico (livello 6)
Archaic emblem (tier 10);Emblema arcaico (livello 10)
Archaic emblem (tier 5);Emblema arcaico (livello 5)
Archaic emblem (tier 4);Emblema arcaico (livello 4)
Archaic emblem (tier 2);Emblema arcaico (livello 2)
Archaic emblem (tier 3);Emblema arcaico (livello 3)
Archaic emblem (tier 7);Emblema arcaico (livello 7)
Archaic emblem (tier 9);Emblema arcaico (livello 9)
Archer helm;Elmo dell'arciere
Archaic emblem (tier 8);Emblema arcaico (livello 8)
Arctic pine logs;Tronchi di pino artico
Arclight;Arcoluce
Archers ring;Anello degli arcieri
Ardougne cloak 1;Mantello di Ardougne 1
Archery target;Bersaglio del tiro con l'arco
Arctic pyre logs;Tronchi di pira artica
Ardougne cloak 2;Mantello di Ardougne 2
Archery ticket;Biglietto per il tiro con l'arco
Ardougne cloak;Mantello di Ardougne
Archers ring (i);Anello degli arcieri (i)
Ardougne knight platelegs;Gambe a piastre del cavaliere di Ardougne
Ardougne max hood;Cappa Ardougne max
Ardougne knight platebody;Platebody del cavaliere d'Ardougne
Ardougne max cape;Mantello massimo di Ardougne
Ardougne teleport;Teletrasporto di Ardougne
Ardougne teleport scroll;Pergamena del teletrasporto di Ardougne
Ardougne knight helm;Elmo del cavaliere di Ardougne
Ardougne cloak 3;Mantello di Ardougne 3
Ardougne cloak 4;Mantello di Ardougne 4
Ardougne knight tabard;Tabardo del cavaliere d'Ardougne
Armadyl chaps;Ragazzi Armadyl
Ardrigal;Ardrigal
Armadyl bracers;Bracciali Armadilici
Armadyl chainskirt;Gonna a catena Armadyl
Ardrigal mixture;Miscela di Ardrigal
Arena book;Libro dell'Arena
Armadyl chestplate;Corazza Armadyl
Armadyl cloak;Mantello Armadilico
Armadyl coif;Cuffia Armadyl
Armadyl crossbow;Balestra armadilica
Armadyl godsword ornament kit;Kit di decorazioni per la spada divina Armadyl
Armadyl crozier;Bastone Armadyl
Armadyl d'hide body;Corpo di Armadyl d'hide
Armadyl d'hide shield;Scudo di Armadyl d'hide
Armadyl full helm;Elmo completo Armadyl
Armadyl halo;Alone armadilico
Armadyl dragonhide set;Set di pelle di drago Armadyl
Armadyl godsword;Spada divina di Armadyl
Armadyl godsword (or);Spada divina Armadyl (o)
Armadyl d'hide boots;Stivali Armadyl d'hide
Armadyl page 3;Armadile pagina 3
Armadyl halo (broken);Alone Armadilico (rotto)
Armadyl kiteshield;Scudo da aquilone Armadyl
Armadyl mitre;Mitra armadilica
Armadyl helmet;Elmo Armadilico
Armadyl page 4;Armadile pagina 4
Armadyl halo (l);Alone armadilico (l)
Armadyl hilt;Elsa armadilica
Armadyl page 1;Armadile pagina 1
Armadyl page 2;Armadile pagina 2
Armadyl pendant;Ciondolo Armadile
Armadyl platebody;Corpo piatto armadilico
Armadyl platelegs;Gambe a piastre armadiliche
Armadyl plateskirt;Gonna a piastre Armadyl
Armadyl robe legs;Gambe della veste armadilica
Armadyl rune armour set (sk);Set armatura runica Armadyl (sk)
Armadyl robe top;Parte superiore della vestaglia in Armadyl
Armadyl stole;Rubata di Armadyl
Armadyl rune armour set (lg);Set armatura runica Armadyl (lg)
Armillary sphere;Sfera armillare
Arrow shaft;Asta della freccia
Arrowheads;Punte di freccia
Asgarnian ale(2);Birra Asgarniana(2)
Armour shard;Frammento di armatura
Armour stand;Supporto per armatura
Asgarnian ale(1);Birra asgarniana(1)
Arms;Braccia
Artefact;Artefatto
Arthur portrait;Ritratto di Artù
Asgarnian ale;Birra asgarniana
Asgarnian ale(m3);Birra asgarniana(m3)
Asgarnian seed;Seme asgarniano
Asgarnian ale(m1);Birra Asgarniana(m1)
Asgarnian hops;Luppolo Asgarniano
Asgarnian ale(m2);Birra Asgarniana(m2)
Asgoldian ale;Birra asgoldiana
Asgarnian ale(3);Birra asgarniana(3)
Asgarnian ale(4);Birra asgarniana(4)
Asgarnian ale(m);Birra asgarniana(m)
Asgarnian ale(m4);Birra Asgarniana(m4)
Assembler max cape (l);Mantella max assemblatore (l)
Ash covered tome;Tomo ricoperto di cenere
Assembler max hood;Cappa max assemblatore
Asleif's necklace;La collana di Asleif
Astral rune;Runa astrale
Assorted flowers;Fiori assortiti
Astral rune shards;Frammenti di rune astrali
Ashes;Ceneri
Assembler max cape (broken);Mantello massimo dell'assemblatore (rotto)
Assembler max cape;Mantella max da assemblatore
Attack mix(2);Mix di attacchi(2)
Asyn remains;Asyn rimane
Attack cape(t);Mantello d'attacco (t)
Attack hood;Cappa d'attacco
Astral tiara;Diadema astrale
Attack mix(1);Mix di attacchi(1)
Attack cape;Mantello d'attacco
Astronomy book;Libro di astronomia
Attack potion(1);Pozione d'attacco(1)
Astronomical chart;Carta astronomica
Attack potion(4);Pozione d'attacco(4)
Attas seed;Seme di Atta
Attack stone;Pietra d'attacco
Attack potion(3);Pozione d'attacco(3)
Attacker icon;Icona dell'attaccante
Attacker horn;Corno dell'attaccante
Auguste's sapling;L'alberello di Auguste
Attack potion(2);Pozione d'attacco(2)
Autumn sq'irk;Sq'irk autunnale
Autumn garden;Giardino d'autunno
Ava's assembler (l);L'assemblatore di Ava (l)
Ava's assembler (broken);L'assemblatore di Ava (rotto)
Avantoe;Avantoe
Ava's accumulator;L'accumulatore di Ava
Ava's assembler;L'assemblatore di Ava
Ava's attractor;L'attrattore di Ava
Avantoe seed;Seme di Avantoe
Avernic defender;Difensore avernico
Autumn sq'irkjuice;Succo d'autunno
Avantoe potion (unf);Pozione Avantoe (unf)
Avernic defender (l);Difensore avernico (l)
Awful anthem;Inno terribile
Axe handle;Manico dell'ascia
Axeman's folly(3);La follia di Axeman(3)
Avernic defender (broken);Difensore avernico (rotto)
Axeman's folly(1);La follia di Axeman(1)
Avernic defender hilt;Elsa difensore avernico
Axeman's folly;La follia di Axeman
Axeman's folly(2);La follia di Axeman(2)
Axe head;Testa d'ascia
Baby dragon bone;Osso del cucciolo di drago
