'perfect' gold bar;'perfecte' goudbaar
Adamant arrow(p++);Adamante pijl(p++)
Achievement gallery;Prestatiegalerij
Achievement diary hood;Prestatie dagboek kap
Adamant arrow pack;Adamant pijlenpakket
Acorn;Eikel
Adamant boots;Adamante laarzen
Adamant bolts (p+);Adamante bouten (p+)
Adamant bolts(unf);Adamante bouten (unf)
Adamant bolts (p);Adamante bouten (p)
Adamant brutal;Onvermurwbaar brutaal
Adamant axe head;Adamante bijlkop
Adamant battleaxe;Adamante strijdbijl
Adamant bolts;Adamante bouten
Adamant bolts (p++);Adamante bouten (p++)
Adamant axe;Adamante bijl
Adamant dagger;Adamante dolk
Adamant dagger(p++);Adamante dolk(p++)
Adamant dart;Adamante pijl
Adamant crossbow (u);Adamante kruisboog (u)
Adamant dagger(p);Adamant dolk(p)
Adamant chainbody;Adamant kettinglichaam
Adamant cane;Adamante stok
Adamant claws;Adamante klauwen
Adamant crossbow;Adamante kruisboog
Adamant dagger(p+);Adamante dolk(p+)
Adamant defender (broken);Adamante verdediger (gebroken)
Adamant defender (l);Adamante verdediger (l)
Adamant fire arrow;Adamante vuurpijl
Adamant fire arrow (lit);Adamante vuurpijl (aangestoken)
Adamant dragon mask;Adamant drakenmasker
Adamant dart tip;Onvermurwbare darttip
Adamant dart(p);Adamante pijl(p)
Adamant dart(p+);Adamante pijl(p+)
Adamant defender;Adamante verdediger
Adamant dart(p++);Adamante pijl(p++)
Adamant halberd;Adamante hellebaard
Adamant hasta;Adamante hasta
Adamant full helm (t);Adamant vol roer (t)
Adamant gold-trimmed set (sk);Adamant set met gouden rand (sk)
Adamant full helm (g);Adamant vol roer (g)
Adamant full helm;Adamant vol roer
Adamant gloves;Adamante handschoenen
Adamant gold-trimmed set (lg);Adamant set met gouden rand (lg)
Adamant hasta(p);Adamante hasta(p)
Adamant hasta(kp);Adamant hasta (kp)
Adamant hasta(p+);Adamante hasta(p+)
Adamant javelin heads;Adamante speerkoppen
Adamant helm (h5);Adamant roer (h5)
Adamant heraldic helm;Adamant heraldisch roer
Adamant helm (h4);Adamant roer (h4)
Adamant hasta(p++);Adamante hasta(p++)
Adamant helm (h2);Adamant roer (h2)
Adamant helm (h3);Adamant roer (h3)
Adamant helm (h1);Adamant roer (h1)
Adamant javelin;Adamante speer
Adamant javelin(p+);Adamante speer(p+)
Adamant javelin(p++);Adamante speer(p++)
Adamant kiteshield;Adamant vliegerschild
Adamant kiteshield (g);Adamant vliegerschild (g)
Adamant knife(p+);Adamant mes(p+)
Adamant knife(p++);Adamant mes(p++)
Adamant kiteshield (t);Adamant vliegerschild (t)
Adamant javelin(p);Adamant speer(p)
Adamant knife;Adamant mes
Adamant knife(p);Adamant mes(p)
Adamant longsword;Adamant langzwaard
Adamant mace;Adamante knots
Adamant pickaxe;Een onvermurwbare houweel
Adamant platebody (h3);Adamant plaatlichaam (h3)
Adamant platebody (h2);Adamant plaatlichaam (h2)
Adamant platebody (h1);Adamant plaatlichaam (h1)
Adamant platebody (g);Adamant plaatlichaam (g)
Adamant med helm;Adamant met roer
Adamant pick head;Adamante pick-head
Adamant platebody;Adamant plaatlichaam
Adamant platebody (t);Adamant plaatlichaam (t)
Adamant platelegs (g);Adamant platelegs (g)
Adamant plateskirt;Adamante plaatrok
Adamant platelegs;Adamant plaatbenen
Adamant plateskirt (t);Adamant plateskirt (t)
Adamant plateskirt (g);Adamant plateskirt (g)
Adamant scimitar;Adamante kromzwaard
Adamant platelegs (t);Adamant platelegs (t)
Adamant platebody (h4);Adamant plaatlichaam (h4)
Adamant platebody (h5);Adamant plaatlichaam (h5)
Adamant set (sk);Adamante verzameling (sk)
Adamant shield (h3);Adamant schild (h3)
Adamant shield (h5);Adamant schild (h5)
Adamant set (lg);Adamant-set (lg)
Adamant shield (h4);Adamant schild (h4)
Adamant spear(kp);Adamante speer (kp)
Adamant spear(p);Adamante speer (p)
Adamant shield (h1);Adamant schild (h1)
Adamant shield (h2);Adamant schild (h2)
Adamant spear;Adamante speer
Adamant warhammer;Een onvermurwbare oorlogshamer
Adamant trimmed set (sk);Adamant getrimde set (sk)
Adamant sword;Adamant zwaard
Adamant spear(p++);Adamante speer(p++)
Adamant sq shield;Adamant vierkant schild
Adamant trimmed set (lg);Adamant getrimde set (lg)
Adamantite armour;Adamanten pantser
Adamantite bar;Adamantitische bar
Adamant spear(p+);Adamante speer(p+)
Adamant thrownaxe;Adamante werpbijl
Adamantite ore fragment;Adamantiet-ertsfragment
Admiral pie;Admiraal taart
Adamantite nails;Adamanten nagels
Adamantite ore;Adamantitisch erts
Address form;Adresformulier
Address label;Adreslabel
Advanced arena;Geavanceerde arena
Agility arena ticket;Agility Arena-ticket
Adamantite limbs;Adamantitische ledematen
Afro;Afro
Agility hood;Behendigheidskap
Agility potion(1);Behendigheidsdrankje(1)
Agility mix(1);Agility-mix(1)
Agility climb;Behendigheid klimmen
Agility balance;Behendigheidsbalans
Agility cape(t);Agility-cape(t)
Agility contortion;Behendigheid verdraaiing
Agility jump;Behendigheid sprong
Agility cape;Behendigheid Kaap
Agility mix(2);Agility-mix(2)
Ahrim's hood 100;Ahrims kap 100
Ahrim's hood;Ahrims kap
Agility potion(2);Behendigheidsdrankje(2)
Agility potion(3);Behendigheidsdrankje(3)
Ahab's beer;Achabs bier
Ahrim's armour set;Ahrims pantserset
Agility tome;Behendigheid boekdeel
Ahrim's hood 0;Ahrims kap 0
Ahrim's hood 25;Ahrims kap 25
Agility potion(4);Behendigheidsdrankje(4)
Ahrim's robetop;Ahrims gewaad
Ahrim's robeskirt 25;Ahrims gewaadrok 25
Ahrim's robetop 0;Ahrim's gewaadtop 0
Ahrim's hood 75;Ahrims kap 75
Ahrim's robeskirt 0;Ahrim's gewaadrok 0
Ahrim's robeskirt 50;Ahrims gewaadrok 50
Ahrim's robeskirt 100;Ahrims gewaadrok 100
Ahrim's robeskirt;Ahrims gewaadrok
Ahrim's robeskirt 75;Ahrims gewaadrok 75
Ahrim's hood 50;Ahrims kap 50
Ahrim's staff;Ahrims staf
Ahrim's robetop 50;Ahrims mantel 50
Ahrim's robetop 75;Ahrims mantel 75
Ahrim's staff 100;Ahrims staf 100
Ahrim's staff 50;Ahrims staf 50
Ahrim's robetop 100;Ahrims gewaadtop 100
Ahrim's staff 0;Ahrim's staf 0
Ahrim's robetop 25;Ahrims mantel 25
Ahrim's staff 25;Ahrims staf 25
Ahrim's staff 75;Ahrims staf 75
Air battlestaff;Lucht strijdstaf
Aivas' diary;Het dagboek van Aivas
Air rune pack;Air Rune-pakket
Air talisman;Lucht talisman
Aivas bust;Aivas buste
Air tiara;Lucht tiara
Airtight pot;Luchtdichte pot
Air rune;Lucht rune
Air rune (nz);Luchtrune (nz)
Air orb;Lucht bol
Alchemical notes;Alchemistische noten
Al kharid flyer;Al Kharid-vlieger
Alchemical chart;Alchemistische grafiek
Alchemical hydra head;Alchemistische hydra hoofd
Amethyst;Amethist
Aluft aloft box;Aloft omhoog doos
Alchemical hydra heads;Alchemistische hydrahoofden
Ale yeast;Ale gist
Alco-chunks;Alco-brokken
Ale of the gods;Ale van de goden
Amethyst fire arrow;Amethist vuurpijl
Amethyst fire arrow (lit);Amethist vuurpijl (verlicht)
Amethyst arrow(p++);Amethistpijl(p++)
Amethyst bolt tips;Amethist boutpunten
Amethyst javelin;Amethist speer
Amethyst arrow(p);Amethist pijl(p)
Amethyst arrowtips;Amethist pijlpunten
Amethyst broad bolts;Amethist brede bouten
Amethyst arrow(p+);Amethist pijl(p+)
Amethyst arrow;Amethist pijl
Amethyst javelin(p+);Amethist speer(p+)
Amethyst javelin heads;Amethist speerkoppen
Amethyst javelin(p++);Amethist speer(p++)
Ammo mould;Munitie schimmel
Amulet mould;Amulet mal
Amulet of accuracy;Amulet van nauwkeurigheid
Amulet of avarice;Amulet van hebzucht
Amulet of blood fury;Amulet van bloedwoede
Amethyst javelin(p);Amethist speer(p)
Ammonium nitrate;Ammoniumnitraat
Amulet of eternal glory;Amulet van eeuwige glorie
Amulet of fury;Amulet van woede
Amulet of fury (or);Amulet van woede (of)
Amulet of glory;Amulet van glorie
Amulet of bounty;Amulet van overvloed
Amulet of defence (t);Amulet van verdediging (t)
Amulet of defence;Amulet van verdediging
Amulet of glory (t);Amulet van glorie (t)
Amulet of chemistry;Amulet van de chemie
Amulet of doomion;Amulet van de ondergang
Amulet of glory(1);Amulet van glorie(1)
Amulet of glory (t2);Amulet van glorie (t2)
Amulet of glory(4);Amulet van glorie(4)
Amulet of glory (t5);Amulet van glorie (t5)
Amulet of glory (t1);Amulet van glorie (t1)
Amulet of glory(2);Amulet van glorie(2)
Amulet of glory (t3);Amulet van glorie (t3)
Amulet of glory (t4);Amulet van glorie (t4)
Amulet of glory (t6);Amulet van glorie (t6)
Amulet of glory(3);Amulet van glorie(3)
Amulet of holthion;Amulet van holthion
Amulet of magic;Amulet van magie
Amulet of nature;Amulet van de natuur
Amulet of magic (t);Amulet van magie (t)
Amulet of power;Amulet van macht
Amulet of power (t);Amulet van kracht (t)
Amulet of strength;Amulet van kracht
Amulet of othanian;Amulet van Othanian
Amulet of glory(5);Amulet van glorie(5)
Amulet of glory(6);Amulet van glorie(6)
Amulet of torture;Amulet van marteling
Amy's saw;Amy's zaag
Amylase crystal;Amylase-kristal
Amur leopard toy;Amoerluipaard speelgoed
Amylase pack;Amylase-pakket
Amulet of the damned (full);Amulet van de verdoemden (vol)
Amulet of torture (or);Amulet van marteling (of)
An empty box;Een lege doos
Amulet of the damned;Amulet van de verdoemden
An empty folder;Een lege map
An orange circle;Een oranje cirkel
Ancestral hat;Voorouderlijke hoed
Ana in a barrel;Ana in een vat
An indigo square;Een indigovierkant
An orange square;Een oranje vierkant
An indigo triangle;Een indigodriehoek
An orange triangle;Een oranje driehoek
An indigo circle;Een indigocirkel
Ancestral key;Voorouderlijke sleutel
An indigo pentagon;Een indigo vijfhoek
Anchovies;Ansjovis
Ancient astroscope;Oude astroscoop
Anchovy oil;Ansjovis olie
Ancestral robes set;Voorouderlijke gewaden ingesteld
Anchovy pizza;Ansjovispizza
Ancient altar;Oud altaar
Anchovy paste;Ansjovispasta
Ancient armour;Oud pantser
Ancestral robe top;Voorouderlijke gewaadtop
Ancestral robe bottom;Voorouderlijk gewaad onderaan
Ancient carcanet;Oude karkanet
Ancient crystal;Oud kristal
Ancient coin;Oude munt
Ancient chaps;Oude kerels
Ancient cloak;Oude mantel
Ancient blessing;Eeuwenoude zegen
Ancient bracers;Oude bracers
Ancient casket;Oude kist
Ancient coif;Oud kapsel
Ancient crozier;Oude crozier
Ancient full helm;Oud volledig roer
Ancient d'hide boots;Oude d'hide-laarzen
Ancient d'hide shield;Oud schild van huiden
Ancient diary;Oud dagboek
Ancient dragonhide set;Oude set drakenhuiden
Ancient effigy;Oude beeltenis
Ancient d'hide body;Oud lichaam van huid
Ancient gorilla greegree;Oude gorilla-greegree
Ancient emblem;Oud embleem
Ancient globe;Oude wereldbol
Ancient ledger;Oud grootboek
Ancient letter;Oude brief
Ancient halo (l);Oude halo (l)
Ancient medallion;Oud medaillon
Ancient halo;Oude halo
Ancient kiteshield;Oud vliegerschild
Ancient halo (broken);Oude halo (gebroken)
Ancient mace;Oude knots
Ancient key;Oude sleutel
Ancient magicks tablet;Tablet met oude magie
Ancient note;Oude notitie
Ancient page 2;Oude pagina 2
Ancient page 3;Oude pagina 3
Ancient platelegs;Oude platelegs
Ancient page 1;Oude pagina 1
Ancient page;Oude pagina
Ancient plateskirt;Oude plateskirt
Ancient page 4;Oude pagina 4
Ancient mitre;Oude mijter
Ancient platebody;Oud plaatlichaam
Ancient statuette;Oud beeldje
Ancient signet;Oude zegel
Ancient staff;Oud personeel
Ancient rune armour set (lg);Oude runenpantserset (lg)
Ancient shard;Oude scherf
Ancient relic;Oud overblijfsel
Ancient robe legs;Benen van oude gewaden
Ancient robe top;Oud gewaadtopje
Ancient rune armour set (sk);Oude runenpantserset (sk)
Ancient stole;Oude stal
Anger mace;Woede knots
Anger battleaxe;Woede strijdbijl
Ancient talisman;Oude talisman
Ancient wyvern shield;Oud Wyvern-schild
Anger spear;Woede speer
Ancient tablet;Oude tablet
Ancient writings;Oude geschriften
Ancient totem;Oude totem
Ancient symbol;Oud symbool
Ancient treatise;Oude verhandeling
Anguish ornament kit;Angst ornament kit
Animate rock scroll;Animeer de rotsrol
Angler top;Visser bovenaan
Angler boots;Visserslaarzen
Anger sword;Woede zwaard
Angler waders;Visser steltlopers
Anglerfish;Zeeduivel
Animal skull;Dierlijke schedel
Animals' bones;Botten van dieren
Angler hat;Visser hoed
Anti-dragon shield (nz);Anti-drakenschild (nz)
Ankou gloves;Ankou-handschoenen
Ankou top;Ankou-topje
Anna's print;Anna's afdruk
Anti-dragon shield;Anti-draken schild
Ankou mask;Ankou-masker
Ankou socks;Ankou-sokken
Annakarl teleport;Annakarl teleporteert
Anti-panties;Anti-slipje
Ankou's leggings;De legging van Ankou
Anti-venom+(1);Anti-gif+(1)
Anti-venom+(3);Anti-gif+(3)
Anti-present;Anti-heden
Anti-poison supermix(1);Anti-gif supermix(1)
Anti-venom(2);Anti-gif(2)
Anti-venom(1);Anti-gif(1)
Anti-venom(4);Anti-gif(4)
Anti-venom(3);Anti-gif(3)
Anti-poison supermix(2);Anti-gif supermix(2)
Anti-venom+(2);Anti-gif+(2)
Antidote++ (unf);Tegengif++ (unf)
Antidote+(2);Tegengif+(2)
Anti-venom+(4);Anti-gif+(4)
Antidote+ mix(1);Tegengif+ mix(1)
Antidote+(1);Tegengif+(1)
Antidote+ (unf);Tegengif+ (unf)
Antidote+ mix(2);Tegengif+ mix(2)
Antidote++(1);Tegengif++(1)
Antidote+(3);Tegengif+(3)
Antidote+(4);Tegengif+(4)
Antifire mix(2);Antibrandmix(2)
Antidote++(3);Tegengif++(3)
Antidote++(4);Tegengif++(4)
Antifire potion(3);Antivuurdrankje(3)
Antipoison mix(1);Antigifmengsel(1)
Antifire mix(1);Antibrandmix(1)
Antidote++(2);Tegengif++(2)
Antifire potion(2);Antivuurdrankje(2)
Antifire potion(1);Antivuurdrankje(1)
Antifire potion(4);Antivuurdrankje(4)
Antipoison(2);Tegengif(2)
Antique emblem (tier 1);Antiek embleem (niveau 1)
Antique emblem (tier 10);Antiek embleem (niveau 10)
Antipoison mix(2);Antigifmengsel(2)
Antique emblem (tier 3);Antiek embleem (niveau 3)
Antipoison(1);Tegengif(1)
Antique emblem (tier 2);Antiek embleem (niveau 2)
Antique emblem (tier 4);Antiek embleem (niveau 4)
Antipoison(3);Tegengif(3)
Antipoison(4);Tegengif(4)
Antisanta mask;Antisanta-masker
Antique emblem (tier 9);Antiek embleem (niveau 9)
Antique lamp;Antieke lamp
Antique emblem (tier 6);Antiek embleem (niveau 6)
Antique emblem (tier 5);Antiek embleem (niveau 5)
Antisanta boots;Antisanta-laarzen
Antisanta jacket;Antisanta jasje
Antique emblem (tier 7);Antiek embleem (niveau 7)
Antisanta gloves;Antisanta-handschoenen
Antique emblem (tier 8);Antiek embleem (niveau 8)
Apple seedling;Appelzaailing
Apple mush;Appelmoes
Apple seedling (w);Appelzaailing (w)
Apple sapling;Appelboompje
Apple barrel;Appel vat
Antisanta's coal box (full);Antisanta's kolenkist (vol)
Apple pie;Appeltaart
Antisanta pantaloons;Antisanta-pantalons
Ape atoll teleport;Teleporteren van een apenatol
Antisanta's coal box;De kolenkist van Antisanta
Apricot cream pie;Abrikozenroomtaart
Apples(2);Appels(2)
Apples(4);Appels(4)
Arcane prayer scroll;Arcane gebedsrol
Apple tree seed;Zaad van de appelboom
Apples(1);Appels(1)
Apples(3);Appels(3)
Apples(5);Appels(5)
Apprentice wand;Leerling toverstaf
Arachnids of vampyrium;Spinachtigen van vampyrium
Archaic emblem (tier 1);Archaïsch embleem (niveau 1)
Arceuus favour certificate;Arceuus gunstcertificaat
Arceuus signet;Arceuus zegel
Arceuus banner;Arceuus-banner
Arceuus scarf;Arceuus-sjaal
Archaeologist's diary;Dagboek van de archeoloog
Arcane spirit shield;Arcaan geestenschild
Arceuus hood;Arceuus-kap
Arcenia root;Arcenia-wortel
Arcane sigil;Arcane sigil
Archaic emblem (tier 6);Archaïsch embleem (niveau 6)
Archaic emblem (tier 10);Archaïsch embleem (niveau 10)
Archaic emblem (tier 5);Archaïsch embleem (niveau 5)
Archaic emblem (tier 4);Archaïsch embleem (niveau 4)
Archaic emblem (tier 2);Archaïsch embleem (niveau 2)
Archaic emblem (tier 3);Archaïsch embleem (niveau 3)
Archaic emblem (tier 7);Archaïsch embleem (niveau 7)
Archaic emblem (tier 9);Archaïsch embleem (niveau 9)
Archer helm;Boogschutter roer
Archaic emblem (tier 8);Archaïsch embleem (niveau 8)
Arctic pine logs;Arctische pijnboomstammen
Arclight;Booglicht
Archers ring;Boogschutters bellen
Ardougne cloak 1;Ardougne-mantel 1
Archery target;Boogschieten doel
Arctic pyre logs;Arctische brandstapelblokken
Ardougne cloak 2;Ardougne-mantel 2
Archery ticket;Boogschieten kaartje
Ardougne cloak;Ardougne-mantel
Archers ring (i);Boogschuttersring (i)
Ardougne knight platelegs;Ardougne ridderplaatbenen
Ardougne max hood;Ardougne max-kap
Ardougne knight platebody;Ardougne ridder platebody
Ardougne max cape;Ardougne max-cape
Ardougne teleport;Ardougne teleporteert
Ardougne teleport scroll;Ardougne teleporteert scroll
Ardougne knight helm;Ardougne ridderroer
Ardougne cloak 3;Ardougne-mantel 3
Ardougne cloak 4;Ardougne-mantel 4
Ardougne knight tabard;Ardougne riddertabard
Armadyl chaps;Armadyl-chaps
Ardrigal;Ardrigal
Armadyl bracers;Armadyl-beugels
Armadyl chainskirt;Armadyl kettingrok
Ardrigal mixture;Ardrigal-mengsel
Arena book;Arena-boek
Armadyl chestplate;Armadyl-borstplaat
Armadyl cloak;Armadyl-mantel
Armadyl coif;Armadyl kapsel
Armadyl crossbow;Armadyl-kruisboog
Armadyl godsword ornament kit;Armadyl godszwaard ornamentset
Armadyl crozier;Armadyl-crozier
Armadyl d'hide body;Armadyl d'huidlichaam
Armadyl d'hide shield;Armadyl d'hide schild
Armadyl full helm;Armadyl volledig roer
Armadyl halo;Armadyl-halo
Armadyl dragonhide set;Armadyl drakenhuid set
Armadyl godsword;Armadyl-godszwaard
Armadyl godsword (or);Armadyl-godszwaard (of)
Armadyl d'hide boots;Armadyl d'hide laarzen
Armadyl page 3;Armadyl pagina 3
Armadyl halo (broken);Armadyl-halo (gebroken)
Armadyl kiteshield;Armadyl vliegerschild
Armadyl mitre;Armadyl mijter
Armadyl helmet;Armadyl-helm
Armadyl page 4;Armadyl pagina 4
Armadyl halo (l);Armadyl-halo (l)
Armadyl hilt;Armadyl gevest
Armadyl page 1;Armadyl pagina 1
Armadyl page 2;Armadyl pagina 2
Armadyl pendant;Armadyl hanger
Armadyl platebody;Armadyl plaatlichaam
Armadyl platelegs;Armadyl-plaatpoten
Armadyl plateskirt;Armadyl-platenrok
Armadyl robe legs;Armadyl gewaadpoten
Armadyl rune armour set (sk);Armadyl runenpantserset (sk)
Armadyl robe top;Armadyl gewaadtop
Armadyl stole;Armadyl heeft gestolen
Armadyl rune armour set (lg);Armadyl runenpantserset (lg)
Armillary sphere;Armillairsfeer
Arrow shaft;Pijlschacht
Arrowheads;Pijlpunten
Asgarnian ale(2);Asgarniaans bier(2)
Armour shard;Armor scherf
Armour stand;Armor standaard
Asgarnian ale(1);Asgarniaans bier(1)
Arms;Armen
Artefact;Artefact
Arthur portrait;Arthur-portret
Asgarnian ale;Asgarniaans bier
Asgarnian ale(m3);Asgarniaans bier (m3)
Asgarnian seed;Asgarniaans zaad
Asgarnian ale(m1);Asgarniaans bier (m1)
Asgarnian hops;Asgarnische hop
Asgarnian ale(m2);Asgarniaans bier (m2)
Asgoldian ale;Asgoldiaans bier
Asgarnian ale(3);Asgarniaans bier(3)
Asgarnian ale(4);Asgarniaans bier(4)
Asgarnian ale(m);Asgarniaans bier(m)
Asgarnian ale(m4);Asgarniaans bier (m4)
Assembler max cape (l);Assembler max cape (l)
Ash covered tome;Met as bedekt boekdeel
Assembler max hood;Assembler max kap
Asleif's necklace;Asleifs ketting
Astral rune;Astrale rune
Assorted flowers;Diverse bloemen
Astral rune shards;Astrale runenscherven
Ashes;As
Assembler max cape (broken);Assembler max cape (gebroken)
Assembler max cape;Assembler max cape
Attack mix(2);Aanvalsmix(2)
Asyn remains;Asyn blijft
Attack cape(t);Aanvalskaap(t)
Attack hood;Aanvalskap
Astral tiara;Astrale tiara
Attack mix(1);Aanvalsmix(1)
Attack cape;Aanval Kaap
Astronomy book;Astronomie boek
Attack potion(1);Aanvalsdrank(1)
Astronomical chart;Astronomische kaart
Attack potion(4);Aanvalsdrank(4)
Attas seed;Attas zaad
Attack stone;Aanval steen
Attack potion(3);Aanvalsdrank(3)
Attacker icon;Aanvaller icoon
Attacker horn;Aanvaller hoorn
Auguste's sapling;Het jonge boompje van Auguste
Attack potion(2);Aanvalsdrank(2)
Autumn sq'irk;Herfst vierkant
Autumn garden;Herfst tuin
Ava's assembler (l);Ava's monteur (l)
Ava's assembler (broken);Ava's assembler (kapot)
Avantoe;Avantoe
Ava's accumulator;Ava's accu
Ava's assembler;Ava's monteur
Ava's attractor;Ava's aantrekker
Avantoe seed;Avantoe-zaad
Avernic defender;Avernische verdediger
Autumn sq'irkjuice;Herfst sq'irkjuice
Avantoe potion (unf);Avantoe-drankje (unf)
Avernic defender (l);Avernische verdediger (l)
Awful anthem;Vreselijk volkslied
Axe handle;Bijl handvat
Axeman's folly(3);De dwaasheid van Axeman(3)
Avernic defender (broken);Avernische verdediger (gebroken)
Axeman's folly(1);De dwaasheid van Axeman(1)
Avernic defender hilt;Avernic verdediger gevest
Axeman's folly;De dwaasheid van Axeman
Axeman's folly(2);De dwaasheid van Axeman(2)
Axe head;Bijl kop
Baby dragon bone;Babydrakenbot
Axeman's folly(m1);Axeman's dwaasheid (m1)
Axeman's folly(4);De dwaasheid van Axeman(4)
Axeman's folly(m);Axeman's dwaasheid (m)
Axeman's folly(m2);De dwaasheid van Axeman (m2)
Axeman's folly(m4);De dwaasheid van Axeman (m4)
Baby dragon bonemeal;Beendermeel van babydraakjes
Axeman's folly(m3);De dwaasheid van Axeman (m3)
Baby chinchompa;Baby chinchompa
Baby impling jar;Baby impling potje
Bagged dead tree;Dode boom in zakken gedaan
Bagged daffodils;Narcissen in zakken
Bag full of gems;Tas vol edelstenen
Baby mole-rat;Baby molrat
Baby red dragon;Kleine rode draak
Bag of salt;Zakje zout
Bagged bluebells;In zakken verpakte boshyacinten
Baby mole;Baby mol
Babydragon bones;Babydragon-botten
Bagged flower;In zakken verpakte bloem
Bagged oak tree;In zakken verpakte eik
Bagged plant 3;Zakplant 3
Bagged sunflower;In zakken verpakte zonnebloem
Bagged plant 2;Zakplant 2
Bagged marigolds;Goudsbloemen in zakken
Bagged magic tree;In zakken verpakte magische boom
Bagged maple tree;In zakken verpakte esdoorn
Bagged roses;In zakken verpakte rozen
Bagged plant 1;Zakplant 1
Bagged nice tree;Leuke boom ingepakt
