A Clam Shell;Ett musslaskal
Arceuus Library Portal;Arceuus biblioteksportal
Arceuus statue;Arceuus staty
Arch;Båge
Archery target;Bågskyttemål
Archway;Valvgång
Arctic Pine;Arctic Pine
Ardougne Portal;Ardougne-portalen
Ardougne Wall Door;Ardougne väggdörr
Arena;Arena
Arena Entrance;Arenaentré
Arena Exit;Arenautgång
Arena space;Arenautrymme
Argento;Argento
Arm;Ärm
Armadyl altar;Armadyl altare
Armadyl armour display case;Armadyl armor monter
Armed Forces Report;Försvarsmaktens rapport
Armillary sphere;Armillär sfär
Armour;Rustning
Armour case;Pansarfodral
Armour case space;Pansarväska utrymme
Armour display;Armor display
Armour repair stand;Armor reparationsställ
Armour space;Pansarutrymme
Armour stall;Pansarstall
Armour stand;Pansarstativ
Arrav;Arrav
Arrow;Pil
Arrows;Pilar
Artefact;Artefakt
Artefacts;Artefakter
Asgarnian Ale;Asgarnian Ale
Asgarnian Hops;Asgarnian humle
Asgarnian ale;Asgarnian ale
Ash pile;Askhög
Aspidistra plant;Aspidistra växt
Astronomical chart;Astronomiskt diagram
Attack stone;Attacksten
Attacker item machine;Angripare objekt maskin
Attas plant;Attas växt
Attas plant display;Attas växtdisplay
Avalanche;Lavin
Aviary Hatch;Aviary Hatch
Awakened Altar;Uppvaknat altare
Awowogei;Awowogei
Axe cabinet;Yxa skåp
Axe case;Yxa fall
Axeman's Folly;Axeman's Folly
Axes;Yxor
Baby red dragon;Baby röd drake
Backpack;Ryggsäck
Badly repaired wall;Dåligt reparerad vägg
Bags for sale;Väskor till salu
Bailing buckets;Bailing hinkar
Baker's Stall;Bagarstall
Baker's stall;Bagarbod
Bakery stall;Bageribod
Balance beam;Balansstråle
Balancing ledge;Balanserande avsats
Balancing rope;Balanserande rep
Ball;Boll
Ballista;Ballista
Bamboo Bed;Bambu säng
Bamboo Bookcase;Bambu bokhylla
Bamboo Desk;Bambu skrivbord
Bamboo Door;Bambu dörr
Bamboo Gate;Bamboo Gate
Bamboo Ladder;Bambu stege
Bamboo Pipes;Bambu rör
Bamboo Stool;Bambu pall
Banana Tree;Bananträd
Banana tree;Bananträd
Banana tree stump;Bananträdstubb
Bandage table;Bandagebord
Bandos altar;Bandos altare
Bandos armour display case;Bandos rustningsmonter
Bank;Bank
Bank Booth;Bank Booth
Bank Box;Banklåda
Bank Chest-wreck;Bank Bröstvrak
Bank Deposit Box;Bankinlåningsbox
Bank Deposit Chest;Bankinsättningskassa
Bank Deposit Pot;Bankinsättningspott
Bank Table;Bankbord
Bank booth;Bankbås
Bank chest;Bank bröst
Bank counter;Bankdisk
Bank deposit box;Bankinlåningsbox
Bank light;Bankljus
Bank notice board;Bankens anslagstavla
Bank papers;Bankpapper
Bank safe;Banksäker
Bank table;Bankbord
Banner;Baner
Banner making stand;Stativ för att göra banner
Banner stand;Bannerställ
Banner stand space;Plats för bannerstativ
Banquet table;Bankettbord
Bar;Bar
Bar dispenser;Bar dispenser
Bar pumps;Stångpumpar
Barbarian anvil;Barbarian städ
Barbarian bed;Barbarian säng
Barbarian chair;Barbarstol
Barbarian table;Barbarian bord
Barge controls;Pråmkontroller
Barley;Korn
Barrel;Fat
Barrel of Mud;Tunna lera
Barrel of Spears;Tunnan av Spears
Barrel of Water;fat vatten
Barrel of fish;Tunna fisk
Barrel of fishbones;Tunna med fiskben
Barrel of flour;Fat mjöl
Barrel rack;Tunnställ
Barrel space;Fatutrymme
Barrels;Tunnor
Barren patch;Karg lapp
Barricade;Barrikad
Barricade table;Barrikadbord
Barrier;Barriär
Barronite Crusher;Barronite kross
Barrow;Kärra
Barrows Portal;Barrows Portal
Bars;Barer
Barstool;Barstol
Basalt rock;Basaltsten
Basic Jewellery Box;Basic smyckeskrin
Basilisk head;Basiliskhuvud
Basket;Korg
Basket Fungi;Korgsvampar
Bath;Bad
Bath pipes;Badrör
Bath screen;Badskärm
Bathroom table;Badrumsbord
Bathtub;Badkar
Battering ram;Murbräcka
Battle tower;Stridstorn
Battlefront Portal;Battlefront Portal
Battlement;Battlement
Battlements;Battlements
Bay window;Burspråk
Beach;Strand
Beacon;Fyr
Beacon.;Fyr.
Beam;Balk
Bean Mound;Bean Mound
Beanstalk;Bönstjälk
Beanstump;Bönstubbe
Bear droppings;Björnspillning
Beard;Skägg
Bed;Säng
Bed hotspot;Säng hotspot
Bed space;Sängutrymme
Bedroom door;Sovrumsdörr
Beehive;Bikupa
Beer barrel;Öltunna
Beer barrels;Ölfat
Beetle;Skalbagge
Bell;Klocka
Bell mechanism;Klockmekanism
Bell pull space;Bell pull utrymme
Bell rope;Bell rep
Bell-pull;Bell-pull
Belladonna;Belladonna
Belladonna patch;Belladonna-plåster
Bellows;Bälg
Bells;Klockor
Bellshroom;Bellshroom
Bench;Bänk
Betty's cauldron;Bettys kittel
Biclopse;Biclopse
Big Button;Stor knapp
Big Compost Bin;Stor kompostbehållare
Big Door;Stor dörr
Big Plant space 1;Stort växtutrymme 1
Big Plant space 2;Big Plant Space 2
Big Tree space;Stort trädutrymme
Big beer barrel;Stor ölfat
Big chest;Stort bröst
Big door;Stor dörr
Big egg;Stort ägg
Big fish;Stor fisk
Big hole;Stort hål
Big plant;Stor växt
Big plant 2;Stor planta 2
Big vase;Stor vas
Big window;Stort fönster
Big, big boulder...;Stort, stort stenblock...
Big, foot print;Stort fotavtryck
Bin;Bin
Bird cage stand;Fågelburstativ
Bird feeder;Fågelmatare
Bird hide structure;Fågelskinnstruktur
Bird snare;Fågel snara
Birdhouse;Fågelholk
Birdhouse (empty);Fågelholk (tom)
Birdseed holder;Fågelfröhållare
Birthday cake;Födelsedagstårta
Bittercap Mushrooms;Bittercapssvampar
Bitternut Sign;Bitternöt tecken
Bitternut Tree;Bitternötsträd
Black Chest;Svart bröst
Black crystal;Svart kristall
Black hole;Svart hål
Black mushrooms;Svarta svampar
Blackboard;Svarta tavlan
Blacksmith's tools;Smedens verktyg
Blacksmiths' tools;Smeders verktyg
Blade;Blad
Blighted Bologano plant;Fördärvad Bologano-växt
Blighted Bologano seedling;Fördärvad Bologano planta
Blighted Golovanova plant;Fördärvad Golovanova-växt
Blighted Golovanova seedling;Fördärvad Golovanova planta
Blighted Logavano plant;Fördärvad Logavano-växt
Blighted Logavano seedling;Fördärvad Logavano planta
Blighted vine;Fördärvad vinstock
Blindweed Patch;Blindweed Patch
Blisterwood Tree;Blisterwood träd
Blockage;Blockering
Blocked Crevice;Blockerad springa
Blocked Tunnel;Blockerad tunnel
Blocked entry;Blockerad ingång
Blocked tunnel;Blockerad tunnel
Blocked volcanic chamber;Blockerad vulkankammare
Blood;Blod
Blood Altar;Blodaltare
Blood Orb;Blood Orb
Blood Stinkhorn;Blod Stinkhorn
Blood Stinktree;Blood Stinktree
Blood crystal;Blodkristall
Blood rift;Blodspricka
Blooming Hespori sprout;Blommande Hespori groddar
Blue Barrier;Blå barriär
Blue Fire;Blå eld
Blue Flowers;Blå Blommor
Blue Water Sign;Blått vatten tecken
Blue banner;Blå banner
Blue chemical;Blå kemikalie
Blue door;Blå dörr
Blue flowers;Blå blommor
Blue tears;Blå tårar
Bluebells;Blåklockor
Blurberry bar;Blurberry bar
Boarded-up door;Uppfälld dörr
Boards;Brädor
Boat;Båt
Boat Chute;Båtrännan
Boat station;Båtstation
Boaty;Båtig
Bob's barrel;Bobs tunna
Body rift;Kroppssprickning
Bog;Mosse
Boil;Koka
Boiler;Panna
Boils;Kokar
Bologano plant;Bologano växt
Bologano seedling;Bologano planta
Bone Chain;Benkedja
Bone Crane;Bone Crane
Bone arch;Benbåge
Bone barrel;Bentunna
Bone door;Bendörr
Bone grinder;Benkvarn
Bone rack;Benställ
Bone support;Benstöd
Bones;Ben
Boney ladder;Boney stege
Bonfire;Bål
Bonzo's Table;Bonzos bord
Book Cart;Bokvagn
Book table;Boka bord
Bookcase;Bokhylla
Bookcase space;Bokhylla utrymme
Books;Böcker
Bookshelf;Bokhylla
Bookshelves;Bokhyllor
Boss lair display;Boss lair display
Boss lair space;Boss lair utrymme
Bottle;Flaska
Bottle Machine;Flaskmaskin
Bottle machine;Flaskmaskin
Boulder;Flyttblock
Boulders;Stenblock
Boundary stones;Gränsstenar
Bow and Arrow;Pil och båge
Bow and arrow;Pil och båge
Bow cabinet;Rosettskåp
Bow case;Pilbåge
Bowl;Skål
Bowsprit;Bogspröt
Box;Låda
Box cart;Lådvagn
Box of Health;Box of Health
Box of bones;Box med ben
Box trap;Lådfälla
Boxes;Rutor
Boxing mat;Boxningsmatta
Boxing ring;Boxningsring
Branch;Gren
Brazier;Brazier
Brew Barrel;Brew Barrel
Brewer's Barrel;Brewer's Barrel
Brewing control;Bryggkontroll
Brewing vat;Bryggkar
Brick;Tegel
Bricks;Tegelstenar
Bridge;Bro
Bright crystal;Ljus kristall
Brimstone chest;Bröst med svavel
Broken Bed;Trasig säng
Broken Brazier;Trasig brazier
Broken Cabinet;Trasigt skåp
Broken Cannon;Trasig kanon
Broken Cart;Trasig vagn
Broken Chair;Trasig stol
Broken Cupboard;Trasigt skåp
Broken Door;Trasig dörr
Broken Drawers;Trasiga lådor
Broken Dresser;Trasig byrå
Broken Fence;Trasigt staket
Broken Fire altar;Trasigt eldaltare
Broken Fountain;Trasig fontän
Broken Grandfather Clock;Trasig farfars klocka
Broken Grandiose Doors;Trasiga grandiosa dörrar
Broken Grate;Trasigt galler
Broken Lecturn;Trasig föreläsning
Broken Mirror;Trasig spegel
Broken Old Bookshelf;Trasig gammal bokhylla
Broken Plantpot;Trasig växtkruka
Broken Potter's Wheel;Trasigt Potter's Wheel
Broken Raft;Trasig flotte
Broken Railing;Trasigt räcke
Broken Range;Broken Range
Broken Roof;Trasigt tak
Broken Scaffold;Trasig ställning
Broken Shelves;Trasiga hyllor
Broken Sink;Trasig handfat
Broken Spinning Wheel;Trasigt spinnhjul
Broken Statue;Trasig staty
Broken Table;Trasigt bord
Broken Wall;Trasig vägg
Broken Well;Bruten brunn
Broken altar;Brutet altare
Broken barrel;Trasig tunna
Broken bath;Trasigt bad
Broken battering ram;Trasig slagkolv
Broken beer glass;Trasigt ölglas
Broken boat;Trasig båt
Broken bridge;Trasig bro
Broken cage;Trasig bur
Broken cannon;Trasig kanon
Broken cart;Trasig vagn
Broken cart wheel;Trasigt vagnhjul
Broken catapult;Trasig katapult
Broken chain;Bruten kedja
Broken chair;Trasig stol
Broken cogs;Trasiga kuggar
Broken counter;Trasig disk
Broken crossbow;Brutet armborst
Broken dead tree;Brutet dött träd
Broken door;Trasig dörr
Broken drilling machine;Trasig borrmaskin
Broken equipment table;Trasigt utrustningsbord
Broken experiment tube;Trasigt experimentrör
Broken fence;Trasigt staket
Broken fish display;Trasig fiskvisning
Broken furnace;Trasig ugn
Broken ground;Bruten mark
Broken kiln;Trasig ugn
Broken ladder;Trasig stege
Broken lamp;Trasig lampa
Broken lobster trap;Trasig hummerfälla
Broken log raft;Trasig timmerflotte
Broken logs;Trasiga stockar
Broken mace trap;Trasig muskotfälla
Broken machinery;Trasiga maskiner
Broken mast;Trasig mast
Broken multicannon;Trasig multikanon
Broken pillar;Trasig pelare
Broken rail;Trasig skena
Broken range;Brutna räckvidd
Broken rock;Trasig sten
Broken rope bridge;Trasig repbro
Broken rowboat;Trasig roddbåt
Broken rune case;Trasigt runfodral
Broken snare;Bruten snara
Broken spinning wheel;Trasigt snurrande hjul
Broken stairs;Trasig trappa
Broken stool;Trasig avföring
Broken strut;Trasigt sträva
Broken sun altar;Brutet solaltare
Broken support;Trasigt stöd
Broken table;Trasigt bord
Broken trap(0);Trasig fälla(0)
Broken wall;Trasig vägg
Broken weapons;Trasiga vapen
Bronze Chest;Bronskista
Bronze Door;Bronsdörr
Bronze axe;Brons yxa
Bronze pickaxe;Brons hacka
Broom;Kvast
Bruma roots;Bruma rötter
Bryophyta display;Bryophyta display
Bubbles;Bubblor
Bucket;Hink
Bucket of Blood;Hink med blod
Buckets;Hinkar
Budding branch;Spirande gren
Buffers;Buffertar
Buffet table;Buffébord
Bull's head;Bulls huvud
Bullrushes;Bullrushes
Bunk bed;Våningssäng
Bunkbed;Våningssäng
Bunsen burner;Bunsenbrännare
Burial cairn;Gravröse
Burial mound;Gravhög
Buried artefact;Begravd artefakt
Buried skeleton;Nedgrävt skelett
Burning bones;Brinnande ben
Burning brazier;Brinnande brasa
Burning driftwood;Brinnande drivved
Burnt chest;Bränt bröst
Burnt rock;Bränd sten
Burnt tree;Bränt träd
Burrow;Håla
Burst boil;Brast koka
Bush;Buske
Bush Patch;Bush Patch
Bust;Byst
Button;Knapp
Cabbage;Kål
Cabbages;Kål
Cabinet;Skåp
Cabinet space;Skåpsutrymme
Cable;Kabel
Cactus;Kaktus
Cactus patch;Kaktusplåster
Cadarn Banner;Cadarn Banner
Cadava bush;Cadava buske
Cadavaberry bush;Kadavabärsbuske
Cage;Bur
Cage door;Burdörr
Cages;Burar
Calquat Tree;Calquat träd
Calquat patch;Calquat-plåster
Camel's statue;Kamels staty
Camelot Portal;Camelot portal
Camorra;Camorra
Camp fire;Lägereld
Campbed;Campbed
Campfire;Lägereld
Camping equipment;Campingutrustning
Camping fire;Campingbrand
Camping gear;Campingutrustning
Campsite bed;Campingsäng
Canal barge;Kanalpråm
Canal wall;Kanalvägg
Canary;Kanariefågel
Candelabrum;Kandelaber
Candle;Ljus
Candle stand;Ljusställ
Candles;Ljus
Candlestick holder;Ljusstakehållare
Cannon;Kanon
Cannon barrels;Kanonpipor
Cannon base;Kanonbas
Cannon stand;Kanonstativ
Cannonball;Kanonkula
Cannonballs;Kanonkulor
Canoe Station;Kanotstation
Canopic Jar;Canopic burk
Cape hanger;Cape hängare
Cape of Legends;Legendernas udde
Cape rack space;Cape rack utrymme
Captain's Table;Kaptenens bord
Carcass;Kadaver
Carol's barrel;Carols tunna
Carpet;Matta
Carpet Exhibit;Mattutställning
Carpet hotspot;Mattor hotspot
Carrallangar Portal;Carrallangar portal
Carrot;Morot
Cart;Vagn
Cart Camel;Cart Camel
Cart Track;Varukorgsspår
Cart track sign;Vagn spår tecken
Cart tunnel;Vagntunnel
Carved doors;Snidade dörrar
Carved head;Utskuret huvud
Carved log;Ristade stock
Carved oak bench;Sniden ekbänk
Carved redwood;Snidad redwood
Carved rock;huggen sten
Carved teak bench;Ristade bänk i teak
Carving;Träsnideri
Castle Gates;Slottsportarna
Castle Wars portal;Castle Wars portal
Castle door;Slottsdörr
Castle wall;Slottsmuren
Casual;Tillfällig
Cat;Katt
Cat Shrine;Cat Shrine
Cat basket;Kattkorg
Cat basket space;Kattkorgsutrymme
Catapult;Katapult
Catapult-lever;Katapult-spak
Catapult-winch;Katapult-vinsch
Catherby Portal;Catherby Portal
Cauldron;Kittel
Cauldron of Thunder;Åskans kittel
Cave;Grotta
Cave Entrance;Ingång till grottan
Cave Exit;Cave Exit
Cave entrance;Ingång till grottan
Cave exit;Grottutgång
Cave gobins;Cave gobins
Cave in;Grott in
Cave opening;Grottöppning
Cave rocks;Grottklippor
Cave wall;Grottvägg
Cave web;Grottnät
Cavern;Grotta
Cavern entrance;Ingång till grottan
Cavern exit;Cavern utgång
Cavity;Hålighet
Ceiling support;Takstöd
Celastrus patch;Celastrus patch
Celastrus tree;Celastrus träd
Celastrus tree stump;Celastrus trädstubb
Celestial globe;Himmelskt klot
Cell Door;Celldörr
Cell Gate;Cellport
Cell door;Celldörr
Cell wall;Cellvägg
Cell wall window;Cellväggsfönster
Cellar stairs;Källartrappa
Cello;Cello
Cemetery Portal;Kyrkogårdsportal
Cenotaph;Cenotaph
Centre of crop circle;Centrum av grödcirkeln
Centre piece;Mittstycke
Centrepiece space;Mittutrymme
Cerberus Topiary;Cerberus Topiary
Cerberus display;Cerberus display
Ceremonial Brazier;Ceremoniell brazier
Ceremonial Pillar;Ceremoniell pelare
Ceremonial Pillow;Ceremoniell kudde
Ceremonial Pillow Stack;Ceremoniell kuddstapel
Ceremonial table;Ceremoniellt bord
Certificate of healing;Intyg om helande
Chain;Kedja
Chains;Kedjor
Chair;Stol
Chair hotspot;Stol hotspot
Chair space;Stolsutrymme
Chaise lounge;Schäslong
Chalice;Bägare
Chalk patterns;Krita mönster
Challenge portal;Utmaningsportal
Chamber;Kammare
Chambers of Xeric;Chambers of Xeric
Champion Statue;Mästarstaty
Chandelier;Takkrona
Changing Curtain;Byte av gardin
Chaos altar;Kaosaltare
Chaos rift;Kaosspricka
Charcoal furnace;Träkolsugn
Charm of Boost;Charm of Boost
Charm of Defence;Försvarets charm
Charm of Fishing;Charm av fiske
Charm of Luck;Lyckans charm
Charm of Mining;Charm of Mining
Charm of Preparation;Charm of Preparation
Charms;Behag
Charred bones;Förkolnade ben
Chart;Diagram
Chasm;Klyfta
Cheese;Ost
Chef's Delight;Kockens fröjd
Chemical pool;Kemisk pool
Chemical vent (blue);Kemisk ventil (blå)
Chemical vent (green);Kemisk ventil (grön)
Chemical vent (red);Kemisk ventil (röd)
Chemical waste pipe;Kemiskt avloppsrör
Chemistry Table;Kemitabell
Chess;Schack
Chest;Bröst
Chest of Champions;Chest of Champions
Chest pieces;Bröstbitar
Chicken;Kyckling
Chicken Shrine;Kycklinghelgedom
Chicken coop;Hönshus
Child's bed;Barns säng
Chimney;Skorsten
Chimney Pipe;Skorstensrör
Chimney pipe;Skorstensrör
Choc-Ice Stall;Choc-isstall
Chopped tendrils;Hackade rankor
Chopping table;Skärbord
Christmas curtains;Julgardiner
Christmas-Spirit Tree;Jul-Ande träd
Chronicles of Xeric;Chronicles of Xeric
Church organ;Kyrkans orgel
Church pew;Kyrkbänk
Cider;Cider
Cider barrel;Cider fat
Circle;Cirkel
Citizen;Medborgare
City Gate;Stadsporten
City gate;Stadsporten
Clam;Mussla
Clan Coffer;Klankassan
Clan Cup Trophy;Clan Cup Trophy
Clan Cup portal;Clan Cup portal
Clan Wars portal;Clan Wars portal
Clan banner;Klan banner
Clan hall portal;Klan hall portal
Clan recruitment board;Klan rekryteringsnämnd
Clarinet;Klarinett
Clay Oven;Lerugn
Clay fireplace;Lerkamin
Clay forge;Lersmedja
Clay oven;Lerugn
Cleaning supplies;Städmaterial
Cliff;Klippa
Cliff edge;Klippkant
Climbing Net;Klätternät
Climbing Rope;Klätterrep
Climbing net;Klätternät
Climbing rocks;Klättring på stenar
Climbing rope;Klätterrep
Cloak rack;Kappställ
Clock;Klocka
Clock face;Urtavla
Clock spindle;Klockspindel
Clockmaker's bench;Klockmakarbänk
Clockmaking space;Klockmakeriutrymme
Closed Chest;Stängd kista
Closed bank booth;Stängd bankbås
Closed booth;Stängd monter
Closed chest;Stängt bröst
Cloth;Trasa
Cloth covered table;Duk täckt bord
Clothes;Kläder
Clothes Stand;Klädställ
Clothes equipment;Klädutrustning
Clothes line;Klädlinje
Clothes model;Klädmodell
Clothes rack;Klädställ
Clothes stall;Klädstall
Clothing shelves;Klädhyllor
Cloud bank;Moln bank
Clump of rocks;Klump av stenar
Coal;Kol
Coal Tar;Stenkolstjära
Coal Truck;Kol lastbil
Coat rack;klädhängare
Cockatrice head;Cockatrice huvud
Cocoon;Kokong
Coffer;Kista
Coffin;Kista
Coffin hotspot;Kista hotspot
Cog;Kugge
Cogs;Kuggar
Coin Collector;Myntsamlare
Coins;Mynt
Coke;Koks
Collapsed trap;Kollapsad fälla
Collapsed wall;Fallad vägg
Collector Converter;Samlaromvandlare
Colony gate;Koloniport
Column;Kolumn
Combat Scroll;Combat Scroll
Combat dummy;Stridsdocka
Combat dummy space;Bekämpa dummy utrymme
Combat ring;Stridsring
Combat ring space;Combat ring utrymme
Competitive;Konkurrenskraftig
Compost;Kompost
Compost Bin;Kompostbehållare
Compost heap;Komposthög
Compromised floorboards;Kompromissade golvbrädor
Compromised support;Äventyrat stöd
Confusing door;Förvirrande dörr
Connected stalagmites;Förbundna stalagmiter
Connection pipe;Anslutningsrör
Consecrated house;Invigt hus
Console;Trösta
Container;Behållare
Contortion Bars;Contortion Bars
Control panel;Kontrollpanel
Conveyor Belt;Löpande band
Conveyor belt;Löpande band
Cooker;Spis
Cooking Pots;Matlagningsgrytor
Cooking pot;Kokgryta
Cooking range;Kokområde
Cooking shelves;Matlagningshyllor
Coolant Dispenser;Kylvätskedispenser
Cooling chest;Svalkande bröst
Coop;Coop
Copper Ladder;Kopparstege
Coral;Korall
Coral Reef;Korallrev
Corkscrew lever;Korkskruvsspak
Corner Table;Hörnbord
Corner space;Hörnutrymme
Corporeal Beast Display;Corporeal Beast Display
Corporeal Beast display;Corporeal Beast display
Corpse;Lik
Corpse cart;Likvagn
Corpses;Lik
Corrupt Deposit;Korrupt insättning
Corrupt Deposit (Depleted);Korrupt insättning (utarmad)
Corrupted Sceptre;Korrupt Scepter
Cosmic rift;Kosmisk spricka
Council members;rådsmedlemmar
Counter;Disk
Court judge;Domare
Cow wheel;Kohjul
Crab Shell;Krabbskal
Crack;Spricka
Cracked wall;Sprucken vägg
Cradle of Life;Livets vagga
Craft stall;Hantverksbod
Crafting Stall;Hantverksstall
Crafting stall;Hantverksbod
Crane;Kran
Crashed Star;Kraschade stjärna
Crashed glider;Kraschat segelflygplan
Crate;Spjällåda
Crate of rune caskets;Låda med runkistor
Crate of wands;Låda med trollstavar
Crater;Krater
Crates;Lådor
Crawling hand;Krypande hand
Crazy penguin;Galen pingvin
Creature;Varelse
Creeper;Kryp
Creeping Plant;Krypande växt
Creeping plant;Krypande växt
Crevasse;Spricka
Crevice;Skreva
Crib;Spjälsäng
Crop circle;Korncirkel
Cross;Korsa
Crossbow;Armborst
Crossbow Tree;Armborst träd
Crossbow stall;Armborst stall
Crossbowman Statue;Crossbowman staty
Crow nest;Kråkbo
Crowd of dwarves;Skara dvärgar
Crude boat;Rå båt
Crude raft;Rå flott
Crumbled wall;Smulad vägg
Crumbling wall;Smulad vägg
Crushed barricade;Krossad barrikad
Crusher;Kross
Crutch;Krycka
Crwys Banner;Crwys Banner
Crypt;Krypta
Crypt Entrance;Kryptens ingång
Crystal;Kristall
Crystal Deposit;Kristallinsättning
Crystal Deposit (Depleted);Kristalldeposition (utarmad)
Crystal Dispenser;Kristalldispenser
Crystal Sceptre;Kristallscepter
Crystal Singing Recipes;Kristallsjungande recept
Crystal Staircase;Kristalltrappa
Crystal ball;Kristallkula
Crystal ball space;Kristallkula utrymme
Crystal bomb;Kristallbomb
Crystal bridge;Kristallbro
Crystal cluster;Kristallkluster
Crystal dispenser;Kristalldispenser
Crystal growth;Kristalltillväxt
Crystal of power;Kristall av kraft
Crystal outcrop;Kristall utsprång
Crystal spire;Kristallspira
Crystal structure;Kristallstruktur
Crystal tree;Kristallträd
Crystal tree patch;Kristallträdslapp
Crystalline structure;Kristallin struktur
Crystals;Kristaller
Cube Pile;Kubhög
Cupboard;Skåp
Cupboard space;Skåputrymme
Curling plant;Curlingväxt
Current;Nuvarande
Curry tree;Curryträd
Curry tree stump;Curry stubbe
Cursed Altar;Förbannade altare
Curtain;Gardin
Curtain space;Gardinutrymme
Curtains;Gardiner
Curved bone;Böjt ben
Cutting Table;Skärbord
Cyan Crystal;Cyan kristall
Cyan crystal;Cyan kristall
Cylinder Pile;Cylinderhög
Daconia rocks;Daconia stenar
Daeyalt Essence;Daeyalt Essence
Daeyalt rocks;Daeyalt stenar
Daffodils;Påskliljor
Dagannoth;Dagannoth
Dagger stall;Dolk stall
Dairy Cow;Mjölkko
Dairy churn;Mejeri churn
Dairy cow;Mjölkko
Daisies;Tusenskönor
Damaged Earth;Skadad jord
Damaged Mast;Skadad mast
Damaged Table;Skadat bord
Damaged Vent;Skadad ventilation
Damaged armour;Skadad rustning
Damaged cart;Skadad vagn
Damaged mast;Skadad mast
Damaged totem pole;Skadad totempåle
Damaged wall;Skadad vägg
Danger Sign;Fara tecken
Danger sign;Fara tecken
Dark Altar;Mörkt altare
Dark Chest;Mörk bröst
Dark crystal;Mörk kristall
Dark hole;Mörkt hål
Dark tunnel;Mörk tunnel
Darklight;Darklight
Dart trap;Dartfälla
Dartboard;Darttavla
David's barrel;Davids tunna
Dawn;Gryning
Dead Asgarnian Hops;Död Asgarnian humle
Dead Attas plant;Död Attas-växt
Dead Barley;Dött korn
Dead Belladonna;Död Belladonna
Dead Bittercap Mushrooms;Döda Bittercap-svampar
