A Goblin standard;Um padrão Goblin
Ancient machinery;Máquinas antigas
A Shayzien State;Um Estado Shayzien
Acidic miasma;Miasma ácido
Adamant armour;Armadura Adamante
Allotment;Loteamento
Amulet space;Espaço amuleto
A barrel of rainwater;Um barril de água da chuva
A crack;Uma rachadura
A gap through the wall;Uma lacuna na parede
A peculiar foot print;Uma pegada peculiar
A shabby tent;Uma tenda surrada
An old lever;Uma velha alavanca
A burnt tree;Uma árvore queimada
Altar of nature;Altar da natureza
An ogre standard;Um padrão ogro
Ancient Equipment;Equipamento Antigo
Ancient metal gate;Antigo portão de metal
Anvil;Bigorna
Absorption potion;Poção de absorção
Air balloon;Balão de ar
Alchemical chart;Gráfico alquímico
Ancient Machinery;Máquinas Antigas
Ancient Rock;Rocha Antiga
Anima patch;Patch de animação
Adventure log space;Espaço de registro de aventura
Air rift;Fenda aérea
Ancient Pillar;Pilar Antigo
Absence of tears;Ausência de lágrimas
Ancient gallows;Forca antiga
A Clam Shell;Uma concha de molusco
A fallen barrel;Um barril caído
A wooden log;Um tronco de madeira
Abstract mural;Mural abstrato
Abyssal demon head;Cabeça de demônio abissal
Ali M's Market;Mercado de Ali M
Ancient brazier;Braseiro antigo
Baker's Stall;Barraca do padeiro
Bakery stall;Barraca de padaria
Bamboo Gate;Portão de Bambu
Bank deposit box;Caixa de depósito bancário
Arrows;Setas
Asgarnian Hops;Lúpulo Asgarniano
Asgarnian ale;Cerveja Asgarniana
Ash pile;Pilha de cinzas
Avalanche;Avalanche
Banana tree;Bananeira
Banana tree stump;Toco de bananeira
Apple Press;Imprensa da Apple
Armour display;Exibição de armadura
Attack stone;Pedra de ataque
Badly repaired wall;Parede mal reparada
Bags for sale;Bolsas à venda
Bamboo Ladder;Escada de Bambu
Bank Deposit Box;Caixa de Depósito Bancário
Apparatus;Aparelho
Apple tree;Macieira
Arena Entrance;Entrada da Arena
Artefact;Artefato
Axeman's Folly;A loucura de Axeman
Bank Deposit Chest;Baú de Depósito Bancário
Apple basket;Cesta de maçã
Apple tree stump;Toco de macieira
Aquarium;Aquário
Arceuus Library Portal;Portal da Biblioteca Arceuus
Armour;Armadura
Armour stand;Suporte de armadura
Bamboo Stool;Banqueta de bambu
Bank Chest-wreck;Naufrágio do baú do banco
Backpack;Mochila
Baker's stall;Barraca do padeiro
Bamboo Bookcase;Estante de bambu
Bank Table;Mesa Bancária
Bank counter;Balcão do banco
Arcane crystal;Cristal Arcano
Arceuus statue;Estátua de Arceuus
Arena space;Espaço da arena
Arrav;Arrav
Banana Tree;Bananeira
Appendage;Apêndice
Arctic Pine;Pinheiro Ártico
Ardougne Wall Door;Porta de parede de Ardonha
Artefacts;Artefatos
Baby red dragon;Bebê dragão vermelho
Bank Box;Caixa Bancária
Bank light;Luz do banco
Arm;Braço
Armour space;Espaço de armadura
Attacker item machine;Máquina de item atacante
Apple Tree;Macieira
Arch;Arco
Armadyl armour display case;Vitrine de armadura Armadyl
Armour stall;Barraca de armadura
Axe case;Estojo de machado
Axes;Eixos
Ballista;Balista
Bamboo Pipes;Tubos de bambu
Arena;Arena
Armour repair stand;Suporte para reparo de armadura
Attas plant display;Expositor de plantas Attas
Awakened Altar;Altar Desperto
Bandage table;Mesa de curativo
Bank;Banco
Armour case;Estojo de armadura
Attas plant;Planta Attas
Bamboo Door;Porta de bambu
Bank chest;Baú de banco
Archery target;Alvo de tiro com arco
Armadyl altar;Altar de Armadyl
Armed Forces Report;Relatório das Forças Armadas
Arrow;Seta
Aspidistra plant;Planta Aspidistra
Awowogei;Awowogei
Bailing buckets;Baldes de resgate
Ball;Bola
Bandos altar;Altar de bandos
Bandos armour display case;Vitrine de armadura Bandos
Archway;Arco
Argento;Argento
Asgarnian Ale;Cerveja Asgarniana
Astronomical chart;Carta astronômica
Aviary Hatch;Escotilha Aviário
Balancing ledge;Salto de equilíbrio
Bamboo Desk;Mesa de bambu
Bank Deposit Pot;Pote de depósito bancário
Bank booth;Cabine de banco
Ape Atoll Dungeon Portal;Portal da Masmorra do Atol dos Macacos
Ardougne Portal;Portal de Ardonha
Arena Exit;Saída da Arena
Balance beam;Trave de equilíbrio
Balancing rope;Corda de equilíbrio
Bamboo Bed;Cama de bambu
Bank notice board;Quadro de avisos do banco
Armillary sphere;Esfera armilar
Armour case space;Espaço da caixa de armadura
Axe cabinet;Armário de machado
Bank Booth;Cabine bancária
Bank safe;Banco seguro
Barbarian chair;Cadeira bárbara
Barrel of Water;Barril de Água
Barren patch;Mancha árida
Basket;Cesta
Beer barrels;Barris de cerveja
Big Plant space 2;Espaço Grande Planta 2
Banner stand space;Espaço para banner
Barley;Cevada
Barrel of flour;Barril de farinha
Beacon;Baliza
Bell-pull;Puxar sino
Belladonna;Beladona
Big hole;Grande buraco
Big plant 2;Planta grande 2
Big window;Grande janela
Bath screen;Tela de banho
Bathtub;Banheira
Bed space;Espaço para cama
Big Door;Porta Grande
Bank papers;Papéis bancários
Barrel of Spears;Barril de Lanças
Barricade;Barricada
Barronite Crusher;triturador de barronita
Beard;Barba
Bellshroom;Campanário
Banner stand;Suporte de banner
Barbarian anvil;Bigorna bárbara
Barrel space;Espaço do barril
Bath pipes;Tubos de banho
Bay window;Janela saliente
Beetle;Besouro
Biclopse;Biclopse
Bank table;Mesa bancária
Barbarian table;Mesa bárbara
Barrel of fishbones;Barril de espinha de peixe
Barrel rack;Rack de barril
Beam;Feixe
Beanstalk;Pé de feijão
Bedroom door;Porta do quarto
Bell mechanism;Mecanismo de campainha
Bar;Bar
Bar pumps;Bombas de barra
Basket Fungi;Fungos de cesta
Beehive;Colméia
Big beer barrel;Grande barril de cerveja
Big chest;Peito grande
Barrel of fish;Barril de peixe
Big egg;Ovo grande
Banquet table;Mesa de banquete
Barge controls;Controles de barcaça
Bars;Barras
Basalt rock;Rocha basáltica
Battle tower;Torre de batalha
Battlement;Ameia
Beach;Praia
Beacon.;Baliza.
Bellows;Fole
Big door;Porta grande
Big, foot print;Grande pegada
Banner making stand;Suporte para confecção de banners
Barbarian bed;Cama bárbara
Barrel;Barril
Basic Jewellery Box;Caixa de joias básica
Battlefront Portal;Portal da Frente de Batalha
Bear droppings;Excrementos de urso
Belladonna patch;Patch de beladona
Big Button;Botão grande
Big, big boulder...;Pedra grande, grande...
Bell rope;Corda de sino
Big Tree space;Espaço Árvore Grande
Big plant;Planta grande
Bar dispenser;Dispensador de barra
Bed hotspot;Ponto de acesso da cama
Bell;Sino
Big Compost Bin;Grande caixa de compostagem
Barrels;Barris
Barrier;Barreira
Barstool;Banqueta de bar
Battlements;Ameias
Bean Mound;Monte de Feijão
Beanstump;Toco de feijão
Bed;Cama
Big Plant space 1;Grande espaço de planta 1
Barricade table;Mesa de barricada
Barrow;Carrinho de mão
Barrows Portal;Portal dos túmulos
Basilisk head;Cabeça de basilisco
Beer barrel;Barril de cerveja
Bell pull space;Espaço para puxar a campainha
Bells;Sinos
Betty's cauldron;Caldeirão de Betty
Banner;Bandeira
Barrel of Mud;Barril de Lama
Bath;Banho
Bathroom table;Mesa de banheiro
Battering ram;Aríete
Bench;Banco
Big fish;Peixe grande
Big vase;Vaso grande
Black Chest;Baú Preto
Blockage;Bloqueio
Boat Chute;Rampa de barco
Bob's barrel;Barril de Bob
Bonfire;Fogueira
Bottle machine;Máquina de garrafas
Bow and arrow;Arco e flecha
Bird feeder;Alimentador de pássaros
Blighted vine;Videira estragada
Blood Altar;Altar de Sangue
Bologano seedling;Muda de bologano
Boulder;Pedregulho
Blacksmith's tools;Ferramentas de ferreiro
Blighted Logavano plant;Planta estragada de Logavano
Blisterwood Tree;Árvore de bolha
Blue Flowers;Flores Azuis
Blue banner;Bandeira azul
Blue flowers;Flores azuis
Boiler;Caldeira
Bonzo's Table;Mesa de Bonzo
Books;Livros
Blighted Bologano plant;Planta Bologano estragada
Blindweed Patch;Patch de erva-cega
Bone barrel;Barril de osso
Bitternut Tree;Árvore de nogueira amarga
Black hole;Buraco negro
Blocked volcanic chamber;Câmara vulcânica bloqueada
Blood rift;Fenda de sangue
Blooming Hespori sprout;Broto de Hespori em flor
Book Cart;Carrinho de livros
Boss lair space;Espaço covil do chefe
Birthday cake;Bolo de aniversário
Blocked Crevice;Fenda bloqueada
Blocked entry;Entrada bloqueada
Bone door;Porta de osso
Bookcase space;Espaço de estante
Bird cage stand;Suporte para gaiola de passarinho
Birdhouse;Casa de passarinho
Blighted Bologano seedling;Mudas Bologano estragadas
Blighted Golovanova seedling;Muda de Golovanova estragada
Blue Barrier;Barreira Azul
Boils;Furúnculos
Bone Chain;Corrente Óssea
Blade;Lâmina
Blighted Logavano seedling;Mudas de Logavano estragadas
Blood Stinktree;Árvore Fedorenta de Sangue
Boards;Quadros
Boaty;Barco
Bog;Pântano
Bookcase;Estante
Bird hide structure;Estrutura de pele de pássaro
Blocked tunnel;Túnel bloqueado
Blue door;Porta azul
Boat;Barco
Bin;Lixeira
Blue tears;Lágrimas azuis
Bowl;Tigela
Bird snare;Armadilha para pássaros
Bluebells;Campainhas
Bone support;Suporte ósseo
Book table;Mesa de livro
Bookshelves;Estantes
Boundary stones;Pedras limite
Bow cabinet;Armário de proa
Birdseed holder;Porta-alpiste
Black crystal;Cristal preto
Blacksmiths' tools;Ferramentas de ferreiro
Blood;Sangue
Boarded-up door;Porta tapada
Bones;Ossos
Bottle Machine;Máquina de garrafas
Bitternut Sign;Sinal de amarga
Blackboard;Lousa
Body rift;Fenda corporal
Boil;Ferver
Bone rack;Rack de osso
Boney ladder;Escada óssea
Bookshelf;Estante
Bottle;Garrafa
Bow case;Estojo de arco
Birdhouse (empty);Casa de passarinho (vazia)
Bittercap Mushrooms;Cogumelos Amargo
Blood Orb;Orbe de Sangue
Blue Water Sign;Sinal de água azul
Blue chemical;Química azul
Blurberry bar;Barra de Blurberry
Boat station;Estação de barco
Bologano plant;Planta Bolonha
Bone Crane;Guindaste de Ossos
Bone arch;Arco ósseo
Bone grinder;Moedor de ossos
Black mushrooms;Cogumelos pretos
Blood Stinkhorn;Chifre Fedorento de Sangue
Boulders;Pedregulhos
Bow and Arrow;Arco e Flecha
Blighted Golovanova plant;Planta arruinada de Golovanova
Blocked Tunnel;Túnel bloqueado
Blood crystal;Cristal de sangue
Blue Fire;Fogo Azul
Boss lair display;Exibição do covil do chefe
Branch;Filial
Broken Roof;Telhado quebrado
Broken Table;Mesa Quebrada
Broken chain;Corrente quebrada
Broken experiment tube;Tubo experimental quebrado
Broken kiln;Forno quebrado
Broken rowboat;Barco a remo quebrado
Brick;Tijolo
Broken Brazier;Braseiro quebrado
Broken Fountain;Fonte Quebrada
Broken Grate;Grelha Quebrada
Broken door;Porta quebrada
Bridge;Ponte
Broken Fire altar;Altar de fogo quebrado
Broken battering ram;Aríete quebrado
Broken fence;Cerca quebrada
Broken stairs;Escadas quebradas
Box of Health;Caixa de Saúde
Brew Barrel;Barril de cerveja
Broken Cannon;Canhão Quebrado
Broken Mirror;Espelho quebrado
Broken Plantpot;Vaso quebrado
Broken Railing;Corrimão quebrado
Broken bridge;Ponte quebrada
Broken mace trap;Armadilha de maça quebrada
Broken pillar;Pilar quebrado
Broken rock;Pedra quebrada
Broken spinning wheel;Roda giratória quebrada
Broken altar;Altar quebrado
Broken crossbow;Besta quebrada
Boxing ring;Ringue de boxe
Broken Range;Alcance Quebrado
Broken Statue;Estátua Quebrada
Broken cogs;Engrenagens quebradas
Broken counter;Balcão quebrado
Broken drilling machine;Máquina de perfuração quebrada
Box;Caixa
Box trap;Armadilha de caixa
Bricks;Tijolos
Broken Shelves;Prateleiras quebradas
Broken boat;Barco quebrado
Broken cannon;Canhão quebrado
Broken cart wheel;Roda de carrinho quebrada
Broken fish display;Exibição de peixe quebrado
Broken mast;Mastro quebrado
Broken snare;Armadilha quebrada
Brewing vat;Cuba de fermentação
Broken Cupboard;Armário quebrado
Broken Drawers;Gavetas quebradas
Broken range;Alcance quebrado
Broken rope bridge;Ponte de corda quebrada
Box of bones;Caixa de ossos
Broken Dresser;Cômoda Quebrada
Broken Fence;Cerca Quebrada
Broken Grandiose Doors;Portas Grandiosas Quebradas
Broken Spinning Wheel;Roda giratória quebrada
Broken stool;Banquinho quebrado
Brazier;Braseiro
Broken Door;Porta quebrada
Broken Scaffold;Andaime Quebrado
Broken Well;Bem quebrado
Broken machinery;Máquinas quebradas
Broken rail;Trilho quebrado
Broken Chair;Cadeira quebrada
Brewing control;Controle de fabricação de cerveja
Broken Grandfather Clock;Relógio de pêndulo quebrado
Broken Raft;Jangada quebrada
Broken Sink;Pia quebrada
Broken catapult;Catapulta quebrada
Broken furnace;Fornalha quebrada
Broken ladder;Escada quebrada
Boxes;Caixas
Boxing mat;Tapete de boxe
Broken barrel;Barril quebrado
Broken beer glass;Copo de cerveja quebrado
Broken cage;Gaiola quebrada
Broken lobster trap;Armadilha de lagosta quebrada
Broken log raft;Jangada quebrada
Box cart;Carrinho de caixa
Bright crystal;Cristal brilhante
Brimstone chest;Baú de enxofre
Broken Cart;Carrinho quebrado
Broken bath;Banho quebrado
Broken cart;Carrinho quebrado
Broken dead tree;Árvore morta quebrada
Broken equipment table;Mesa de equipamentos quebrada
Bowsprit;Gurupés
Brewer's Barrel;Barril de Cervejeiro
Broken Bed;Cama quebrada
Broken Cabinet;Armário quebrado
Broken Lecturn;Palestra Quebrada
Broken Old Bookshelf;Estante velha quebrada
Broken Potter's Wheel;Roda de Potter quebrada
Broken Wall;Parede Quebrada
Broken chair;Cadeira quebrada
Broken ground;Terreno quebrado
Broken lamp;Lâmpada quebrada
Broken logs;Toras quebradas
Broken multicannon;Multicanhão quebrado
Broken rune case;Caixa de runa quebrada
Broken sun altar;Altar do sol quebrado
Bush Patch;Remendo de arbusto
Bust;Busto
Candle;Vela
Candlestick holder;Castiçal
Cape of Legends;Cabo das Lendas
Broken wall;Parede quebrada
Burial cairn;Sepultura
Cactus;Cacto
Carol's barrel;O barril de Carol
Bruma roots;Raízes de Bruma
Camel's statue;Estátua do camelo
Camping equipment;Equipamento de acampamento
Camping gear;Equipamento de acampamento
Cannonball;Bala de canhão
Carpet;Tapete
Bronze axe;Machado de bronze
Bucket;Balde
Buffers;Buffers
Buffet table;Mesa de bufê
Cadarn Banner;Estandarte de Cadarn
Cart Camel;Carrinho Camelo
Bronze Chest;Baú de Bronze
Camorra;Camorra
Camp fire;Fogueira de acampamento
Cape rack space;Espaço para rack de capa
Carcass;Carcaça
Carrot;Cenoura
Carved doors;Portas esculpidas
Camping fire;Fogo de acampamento
Canal wall;Parede do canal
Candles;Velas
Cannon;Canhão
Cart;Carrinho
Bull's head;Cabeça de touro
Bullrushes;Touros
Burning bones;Ossos queimando
Cabbage;Repolho
Cage door;Porta da gaiola
Calquat Tree;Árvore Calquat
Campfire;Fogueira
Cannonballs;Balas de canhão
Broken support;Suporte quebrado
Buckets;Baldes
Bunsen burner;bico de Bunsen
Cabbages;Couves
Cannon stand;Suporte de canhão
Bronze Door;Porta de Bronze
Bunk bed;Beliche
Burning brazier;Braseiro ardente
Burnt tree;Árvore queimada
Cart track sign;Sinal de pista de carrinho
Broken strut;Suporte quebrado
Bubbles;Bolhas
Cactus patch;Patch de cacto
Cage;Jaula
Campbed;Acampamento
Canary;Canário
Bryophyta display;Exibição de briófitas
Bucket of Blood;Balde de Sangue
Budding branch;Ramo brotando
Burnt chest;Peito queimado
Burrow;Toca
Cabinet;Gabinete
Candle stand;Castiçal
Cannon barrels;Barris de canhão
Canopic Jar;Frasco Canópico
Cape hanger;Cabide de capa
Bronze pickaxe;Picareta de bronze
Burning driftwood;Queimando madeira flutuante
Cadavaberry bush;Arbusto cadavaberry
Campsite bed;Cama de acampamento
Cannon base;Base de canhão
Cart Track;Trilha do carrinho
Broom;Vassoura
Cadava bush;Mato de cadava
Broken table;Mesa quebrada
Broken trap(0);Armadilha quebrada(0)
Buried skeleton;Esqueleto enterrado
Candelabrum;Candelabro
Canoe Station;Estação de Canoagem
Carpet Exhibit;Exposição de tapetes
Cart tunnel;Túnel de carrinho
Burial mound;Túmulo
Buried artefact;Artefato enterrado
Burnt rock;Rocha queimada
Cable;Cabo
Calquat patch;Patch Calquat
Captain's Table;Mesa do Capitão
Carpet hotspot;Ponto de acesso de carpete
Carrallangar Portal;Portal Carrallangar
Broken weapons;Armas quebradas
Bunkbed;Beliche
Burst boil;Estourar fervura
Bush;Arbusto
Button;Botão
Cabinet space;Espaço do gabinete
Cages;Gaiolas
Camelot Portal;Portal Camelot
Canal barge;Barcaça do canal
Cat;Gato
Cave gobins;Gobins das cavernas
Celastrus tree stump;Toco de árvore Celastrus
Cell wall window;Janela da parede celular
Ceremonial table;Mesa cerimonial
Chair;Cadeira
Chamber;Câmara
Carved teak bench;Banco de teca esculpida
Castle Wars portal;Portal da Guerra dos Castelos
Catherby Portal;Portal Catherby
Cave wall;Parede da caverna
Ceremonial Pillow;Almofada Cerimonial
Chalk patterns;Padrões de giz
Chaos rift;Fenda do caos
Chemical vent (red);Respiradouro químico (vermelho)
Ceremonial Pillar;Pilar Cerimonial
Chemical waste pipe;Tubo de resíduos químicos
Carved oak bench;Banco de carvalho esculpido
Carved redwood;Sequóia esculpida
Cavern entrance;Entrada da caverna
Cemetery Portal;Portal do Cemitério
Centre of crop circle;Centro do círculo na plantação
Centrepiece space;Espaço central
Charms;Encantos
Chemical pool;Piscina química
Cat basket space;Espaço para cesto de gato
Cauldron;Caldeirão
Cave Exit;Saída da Caverna
Cave entrance;Entrada da caverna
Ceiling support;Suporte de teto
Cell Door;Porta da cela
Chain;Corrente
Challenge portal;Portal de desafio
Chandelier;Lustre
Charm of Boost;Charme do Impulso
Charm of Fishing;Charme da Pesca
Cheese;Queijo
Catapult-winch;Guincho catapulta
Cavity;Cavidade
Celastrus tree;Árvore Celastrus
Charm of Luck;Amuleto da Sorte
Castle door;Porta do castelo
Castle wall;Muralha do castelo
Cat Shrine;Santuário do Gato
Cat basket;Cesta de gato
Catapult-lever;Alavanca de catapulta
Ceremonial Brazier;Braseiro Cerimonial
Chambers of Xeric;Câmaras de Xeric
Chasm;Abismo
Chemistry Table;Tabela de Química
Castle Gates;Portões do Castelo
Cave web;Caverna teia
Cavern;Caverna
Cerberus Topiary;Topiária Cerberus
Certificate of healing;Certificado de cura
Chains;Correntes
Chart;Gráfico
Carved rock;Rocha esculpida
Casual;Casual
Cave in;Caverna em
Cave rocks;Rochas da caverna
Ceremonial Pillow Stack;Pilha de travesseiros cerimoniais
Charred bones;Ossos carbonizados
Chemical vent (blue);Ventilação química (azul)
Carved head;Cabeça esculpida
Catapult;Catapulta
Cell wall;Parede celular
Centre piece;Peça central
Changing Curtain;Trocando Cortina
Charcoal furnace;Forno a carvão
Charm of Defence;Charme de Defesa
Chef's Delight;Delícia do Chef
Carved log;Registro esculpido
Cave Entrance;Entrada da Caverna
Cave exit;Saída da caverna
Celastrus patch;Patch Celastrus
Cellar stairs;Escadas da adega
Chaise lounge;Espreguiçadeira
Chaos altar;Altar do caos
Charm of Preparation;Charme da Preparação
Chest of Champions;Baú dos Campeões
Cauldron of Thunder;Caldeirão do Trovão
Cavern exit;Saída da caverna
Cell door;Porta da cela
Chair space;Espaço para cadeiras
Champion Statue;Estátua do Campeão
Chemical vent (green);Respiradouro químico (verde)
Chest;Peito
Cave;Caverna
Cave opening;Abertura da caverna
Cell Gate;Portão da cela
Cello;Violoncelo
Chalice;Cálice
Charm of Mining;Charme da Mineração
Chess;Xadrez
Carving;Escultura
Celestial globe;Globo celestial
Cenotaph;Cenotáfio
Cerberus display;Exibição Cerberus
Chair hotspot;Ponto de acesso da cadeira
Chopped tendrils;Gavinhas picadas
Circle;Círculo
City gate;Portão da cidade
Coin Collector;Colecionador de moedas
Compost;Composto
Clan banner;Bandeira do clã
Clay fireplace;Lareira de barro
Clock spindle;Fuso do relógio
Cog;Engrenagem
Colony gate;Portão da colônia
Combat dummy;Boneco de combate
Compromised support;Suporte comprometido
Christmas curtains;Cortinas de natal
Church organ;Órgão da igreja
Clan Cup portal;Portal da Copa do Clã
Clay Oven;Forno de Barro
Closed booth;Estande fechado
Cloth;Pano
Column;Coluna
Citizen;Cidadão
Cleaning supplies;Materiais de limpeza
Clothes;Roupas
Clothes rack;Cabideiro
Clay forge;Forja de barro
Collapsed wall;Parede desabada
Combat ring space;Espaço do ringue de combate
Chicken coop;Galinheiro
Chimney pipe;Tubo de chaminé
Clothing shelves;Prateleiras de roupas
Coal;Carvão
Coffin;Caixão
Coke;Coque
Compost Bin;Caixa de compostagem
Chicken Shrine;Santuário de Frango
Clan Coffer;Cofre do Clã
Clan hall portal;Portal do salão do clã
Climbing net;Rede de escalada
Clock;Relógio
Cloth covered table;Mesa coberta de pano
Clothes equipment;Equipamento de roupas
Cloud bank;Banco de nuvem
Clump of rocks;Amontoado de pedras
Cogs;Engrenagens
Combat Scroll;Pergaminho de Combate
Competitive;Competitivo
Connection pipe;Tubo de conexão
Choc-Ice Stall;Barraca de chocolate
Cider;Cidra
Clam;Molusco
Clan recruitment board;Quadro de recrutamento do clã
Coffin hotspot;Ponto de acesso do caixão
Combat ring;Anel de combate
Compost heap;Pilha de compostagem
Chronicles of Xeric;Crônicas de Xeric
Closed Chest;Baú Fechado
Confusing door;Porta confusa
Connected stalagmites;Estalagmites conectadas
Church pew;Banco da igreja
Clay oven;Forno de barro
Closed bank booth;Cabine de banco fechada
Chimney;Chaminé
Clan Wars portal;Portal de Guerras de Clãs
Coins;Moedas
Consecrated house;Casa consagrada
Chest pieces;Peças de peito
Christmas-Spirit Tree;Árvore do espírito natalino
Clock face;Mostrador do relógio
Clothes model;Modelo de roupas
Clothes stall;Barraca de roupas
Coal Tar;Alcatrão de Carvão
Chimney Pipe;Tubo de chaminé
Cider barrel;Barril de cidra
Cliff;Penhasco
Cliff edge;Beira do penhasco
Climbing rope;Corda de escalada
Cloak rack;Porta-mantos
Clothes line;Varal de roupas
Cockatrice head;Cabeça de cocatriz
Cocoon;Casulo
Coffer;Cofre
Compromised floorboards;Tábuas de piso comprometidas
Chicken;Frango
Child's bed;Cama de criança
Chopping table;Mesa de corte
Clan Cup Trophy;Troféu da Copa do Clã
Climbing Net;Rede de escalada
Climbing rocks;Escalando rochas
Closed chest;Baú fechado
Clothes Stand;Suporte de roupas
Coal Truck;Caminhão de carvão
Coat rack;Cabide
Collector Converter;Conversor de Colecionador
City Gate;Portão da Cidade
Clarinet;Clarinete
Climbing Rope;Corda de escalada
Clockmaking space;Espaço relojoeiro
Combat dummy space;Espaço fictício de combate
Console;Console
Clockmaker's bench;Banco de relojoeiro
Collapsed trap;Armadilha desmoronada
Cooker;Fogão
Crevasse;Fenda
Crumbled wall;Parede desmoronada
Crutch;Muleta
Crwys Banner;Bandeira Crwys
Crystal Dispenser;Dispensador de Cristal
Crystal tree patch;Patch de árvore de cristal
Corporeal Beast display;Exibição de Besta Corpórea
Cow wheel;Roda de vaca
Crack;Rachadura
Crowd of dwarves;Multidão de anões
Crypt;Cripta
Cupboard;Armário
Copper Ladder;Escada de Cobre
Counter;Contador
Crab Shell;Casca de Caranguejo
Crashed glider;Planador acidentado
Crossbow;Besta
Crossbow stall;Barraca de besta
Crypt Entrance;Entrada da Cripta
Crystal ball space;Espaço bola de cristal
Corpse;Cadáver
Crossbowman Statue;Estátua do Besteiro
Crystal outcrop;Afloramento cristalino
Crystal structure;Estrutura cristalina
Crystalline structure;Estrutura cristalina
Coolant Dispenser;Distribuidor de refrigerante
Cosmic rift;Fenda Cósmica
Council members;Membros do conselho
Court judge;Juiz do tribunal
Crate of rune caskets;Caixa de caixões de runas
Crate of wands;Caixa de varinhas
Crusher;Triturador
Cube Pile;Pilha de Cubos
Cooking shelves;Prateleiras de cozinha
Crafting Stall;Barraca de artesanato
Crystal Deposit;Depósito de Cristal
Crystal of power;Cristal do poder
Curling plant;Planta de ondulação
Conveyor Belt;Correia transportadora
Cooking Pots;Panelas
Crafting stall;Barraca de artesanato
Crashed Star;Estrela quebrada
Crib;Berço
Crossbow Tree;Árvore de besta
Crystal tree;Árvore de cristal
Control panel;Painel de controle
Conveyor belt;Correia transportadora
Cooking pot;Panela
Corpses;Cadáveres
Cracked wall;Parede rachada
Craft stall;Barraca de artesanato
Crazy penguin;Pinguim louco
Creeping plant;Planta rasteira
Cross;Cruzar
Crow nest;Ninho de corvo
Crude boat;Barco bruto
Crystal bomb;Bomba de cristal
Crystals;Cristais
Corporeal Beast Display;Exibição de Besta Corpórea
Corrupt Deposit;Depósito Corrompido
Corrupt Deposit (Depleted);Depósito corrompido (esgotado)
Creeping Plant;Planta rasteira
Crude raft;Jangada bruta
Crystal Sceptre;Cetro de Cristal
Crystal Staircase;Escadaria de Cristal
Container;Recipiente
Crawling hand;Mão rastejante
Crystal bridge;Ponte de cristal
Crystal growth;Crescimento de cristal
Coral Reef;Recife de Coral
Cradle of Life;Berço da Vida
Creeper;Trepadeira
Crevice;Fenda
Crumbling wall;Parede em ruínas
Crystal ball;Bola de cristal
Crystal spire;Pináculo de cristal
Cupboard space;Espaço no armário
Cooling chest;Baú de resfriamento
Coop;Cooperativa
Creature;Criatura
Crushed barricade;Barricada esmagada
Corner Table;Mesa de canto
Contortion Bars;Barras de Contorção
Corner space;Espaço de canto
Corrupted Sceptre;Cetro Corrompido
Crop circle;Círculo de corte
Crystal cluster;Aglomerado de cristal
Crystal dispenser;Dispensador de cristal
Coral;Coral
Corkscrew lever;Alavanca saca-rolhas
Corpse cart;Carrinho de cadáver
Crater;Cratera
Crates;Caixas
Crystal;Cristal
