hello;olá
Only the most worthy may access our guild and I'm afraid you are not quite there yet. Go out and hone your skills. Then you can return to us.;Somente os mais dignos podem acessar nossa guilda e temo que você ainda não tenha chegado lá. Saia e aprimore suas habilidades. Então você pode voltar para nós.
Really? What did he say?;Realmente? O que ele disse?
Yep, I've got them here.;Sim, eu os tenho aqui.
(Non-quest dialogue) I'd like information, please.;(Diálogo fora da missão) Gostaria de informações, por favor.
I don't know. He may well soon come face to face with Lowerniel Drakan, the cause of all his pain. I hope he is ready for that.;Não sei. Ele poderá em breve ficar cara a cara com Lowerniel Drakan, a causa de toda a sua dor. Espero que ele esteja pronto para isso.
I think it is time we end this once and for all!;Acho que é hora de acabarmos com isso de uma vez por todas!
This could quickly get interesting, but you need to do whatever it takes to get them back at that table. If even one of them walks away, we'll end up with a big problem on our hands.;Isso pode ficar interessante rapidamente, mas você precisa fazer o que for preciso para trazê-los de volta à mesa. Se pelo menos um deles for embora, acabaremos com um grande problema nas mãos.
The wizard Grayzag next door decided he didn't like me so he enlisted an army of hundreds of imps.;O mago Grayzag da casa ao lado decidiu que não gostava de mim, então alistou um exército de centenas de diabinhos.
No need for us to stick around this place any more. I will meet you back at the graveyard.;Não há mais necessidade de ficarmos neste lugar. Encontro você no cemitério.
10.1 Failing on the first stage;10.1 Falhando na primeira fase
There are a few who have entered the Scar in the past. None have returned.;Existem alguns que entraram na Cicatriz no passado. Nenhum voltou.
Nor does the Black Guard. They are under the command of the Consortium, not the other way around.;Nem a Guarda Negra. Eles estão sob o comando do Consórcio, e não o contrário.
Fifteenth set;Décimo quinto conjunto
The Wise Old Man teleports away.;O Velho Sábio se teletransporta.
For a time, nothing unusual happened. The reports of trouble in the area died down, and everything seemed normal.;Por um tempo, nada de incomum aconteceu. Os relatos de problemas na área diminuíram e tudo parecia normal.
Start the Temple of Ikov quest?;Iniciar a missão do Templo de Ikov?
If the puzzle is complete;Se o quebra-cabeça estiver completo
Don't be so sure. I got here by following a clue, a clue left behind by Lady Hefin. I seek her on behalf of Baxtorian himself.;Não tenha tanta certeza. Cheguei aqui seguindo uma pista, uma pista deixada por Lady Hefin. Procuro-a em nome do próprio Baxtorian.
Oi, how dare you wake me up!;Ei, como você ousa me acordar!
Den no crunchy claws for you!;Não há garras crocantes para você!
Healthorg has become a weak old fool! He's blind to our problems.;Healthorg se tornou um velho tolo e fraco! Ele está cego para nossos problemas.
No... I thought destroying the totem would be enough, but it's already too late. It has claimed this place now. We can never undo that.;Não... pensei que destruir o totem seria suficiente, mas já é tarde demais. Ele reivindicou este lugar agora. Nunca poderemos desfazer isso.
You hear the clunking of some hidden machinery.;Você ouve o barulho de algumas máquinas escondidas.
Hmm... Say the scroll had been there, what were you supposed to do with it?;Hmm... Digamos que o pergaminho estivesse lá, o que você deveria fazer com ele?
Keep at it. We need to find a solution that they all agree on.;Continue assim. Precisamos encontrar uma solução com a qual todos concordem.
The River leads the souls through unchartable realms, transcending the plane of the world as you see it, but the three-headed Guardian keeps them safe.;O Rio conduz as almas através de reinos desconhecidos, transcendendo o plano do mundo como você o vê, mas o Guardião de três cabeças os mantém seguros.
He'd achieved his goal, so he left. I never saw him again.;Ele alcançou seu objetivo, então foi embora. Nunca mais o vi.
Rantz gives you a filled comfy mattress.;Rantz oferece um colchão confortável e cheio.
3.12.1 Talking to Garkor again;3.12.1 Conversando com Garkor novamente
I'm guessing this is the bit where I retrieve some hespori bark for us.;Acho que esta é a parte em que recupero um pouco de casca de hespori para nós.
Alright, Kovac, I'll help you out. What do we need to do first?;Tudo bem, Kovac, vou te ajudar. O que precisamos fazer primeiro?
Oh. So you can't help me?;Oh. Então você não pode me ajudar?
Finally! How long before we can expect his support?;Finalmente! Quanto tempo até que possamos esperar o seu apoio?
But if it weren't for you... my whole family... we could have been...;Mas se não fosse por você... toda a minha família... poderíamos ter sido...
1.7 Showing the brooch to the Duke;1.7 Mostrando o broche ao duque
Well, it all started the day I was fishing in catherby[sic], funnily enough.;Bem, tudo começou no dia em que eu estava pescando em Catherby[sic], curiosamente.
I had a moving-over-distance sphere with me, but they confiscated it when they put me in here. They didn't even know what it was. They were just frightened that it might explode.;Eu tinha uma esfera móvel comigo, mas eles a confiscaram quando me colocaram aqui. Eles nem sabiam o que era. Eles estavam apenas com medo de que pudesse explodir.
If the player did see Scorpio;Se o jogador viu Escorpião
The compost is teeming with maggots. Somebody should really do something about it. It's certainly clear nobody's used poison here.;O composto está repleto de larvas. Alguém realmente deveria fazer algo a respeito. Certamente está claro que ninguém usou veneno aqui.
already, what?;já, o quê?
You're a H.A.M. member, aren't you?;Você é um H.A.M. membro, não é?
3.6 Returning to Commander Fullore;3.6 Retornando ao Comandante Fullore
No, I don't have them yet, but I can get them for you. The librarian has a book.;Não, ainda não os tenho, mas posso consegui-los para você. A bibliotecária tem um livro.
You not come into temple with that thing.;Você não entra no templo com essa coisa.
6 Talking to Lawgof after getting the ammo mould;6 Conversando com Lawgof depois de pegar o molde de munição
No, sorry, no more blooming favours for anyone!;Não, desculpe, não há mais favores florescentes para ninguém!
You did it! I wasn't sure I'd make it out of that one, but I'm glad you proved me wrong. Come, let's get out of here.;Você conseguiu! Eu não tinha certeza se conseguiria sair dessa, mas estou feliz que você tenha provado que eu estava errado. Venha, vamos sair daqui.
You find a note next to the vase. You take it.;Você encontra uma nota ao lado do vaso. Você aceita.
Pharaoh Kemesis has you fooled. This is clearly some ploy of his to keep us confused and divided. He is our true foe.;O Faraó Kemesis enganou você. Isto é claramente uma manobra dele para nos manter confusos e divididos. Ele é nosso verdadeiro inimigo.
My plan has only just begun! Even with this setback, those pathetic fragments of my father have still given me ample power. My strength is absolute!;Meu plano apenas começou! Mesmo com este revés, aqueles fragmentos patéticos do meu pai ainda me deram amplo poder. Minha força é absoluta!
What on Gielinor is...;O que em Guilenor é...
So you didn't find the entrance to Zanaris yet, huh?;Então você ainda não encontrou a entrada de Zanaris, hein?
Ulsquire Shauncy;Ulsquire Shauncy
A cutscene starts. The player and Maisa walk towards the citizens and Menaphite Guards.;Uma cena começa. O jogador e Maisa caminham em direção aos cidadãos e aos Guardas Menaphitas.
I can almost taste the riches!;Quase posso sentir o gosto das riquezas!
Take a look around our camp if you like!;Dê uma olhada em nosso acampamento se quiser!
Vanescula Drakan appears;Vanéscula Drakan aparece
You take an 8-gallon jug from the cupboard.;Você pega uma jarra de 8 galões do armário.
I think I saw some buildings on the coast east of here while we were crashing. I'd have a look there.;Acho que vi alguns edifícios na costa leste daqui enquanto estávamos caindo. Eu daria uma olhada lá.
2.9 Investigating the compost heap;2.9 Investigando a pilha de compostagem
Where would I find this Al Zaba Bhasim?;Onde eu encontraria esse Al Zaba Bhasim?
Ok, I'll gather some wood.;Ok, vou juntar um pouco de madeira.
Start again!;Comece de novo!
Well, I'm not sure how much you've heard about them, but they are magical experts.;Bem, não tenho certeza do quanto você já ouviu falar deles, mas eles são especialistas em magia.
I would really like to, please believe me, I would, but I just can't.;Eu realmente gostaria, por favor, acredite em mim, eu gostaria, mas simplesmente não posso.
What fleet are you talking about?;De que frota você está falando?
(The first three dialogue options are ordered randomly, and the fourth option is picked randomly from below.);(As três primeiras opções de diálogo são ordenadas aleatoriamente e a quarta opção é escolhida aleatoriamente abaixo.)
Maybe you could get the relic back from the Captain, and return it to the ogres? And tell them I'm very sorry. Then perhaps they'll lift the curse.;Talvez você pudesse recuperar a relíquia do Capitão e devolvê-la aos ogros? E diga a eles que sinto muito. Então talvez eles acabem com a maldição.
That's not good. Did she have any descendants?;Isso não é bom. Ela teve descendentes?
Hey Jethick, got any ideas on how to increase hatred for the king?;Ei, Jethick, tem alguma ideia sobre como aumentar o ódio pelo rei?
I found some ingredients and started making a potion with them.;Encontrei alguns ingredientes e comecei a fazer uma poção com eles.
Now that Ysgawyn has returned, I thought we should gather to hear what he has discovered.;Agora que Ysgawyn voltou, pensei que deveríamos nos reunir para ouvir o que ele descobriu.
2.67 Taking to First mate 'Davey-boy' in search of the jinx;2.67 Levando ao primeiro imediato 'Davey-boy' em busca do azar
Hello there. I'd like to ask you some questions about your dad.;Olá. Gostaria de fazer algumas perguntas sobre seu pai.
Yes, I can imagine. Do you have any more recent information about him? Where is he?;Sim, posso imaginar. Você tem alguma informação mais recente sobre ele? Onde ele está?
These adventurers reported seeing a wraith- like creature.;Esses aventureiros relataram ter visto uma criatura parecida com um fantasma.
I know, I know. This is a truly dangerous creation, of all proportions.;Eu sei, eu sei. Esta é uma criação verdadeiramente perigosa, de todas as proporções.
That's not true!;Isso não é verdade!
Well return to me once you have.;Bem, volte para mim assim que tiver feito isso.
I'll see if the author can help translate the note for me, then.;Vou ver se o autor pode ajudar a traduzir a nota para mim, então.
6.1.4 Trying to combine buttons with pattern without hard leather;6.1.4 Tentando combinar botões com estampa sem couro duro
Be off with ye then.;Vá embora então.
When it protects them from a far greater danger, a fear too big to fathom.;Quando os protege de um perigo muito maior, um medo grande demais para ser compreendido.
Oh, I'll be fine. I've got work as Port Sarim's first lifeguard!;Ah, eu vou ficar bem. Tenho trabalho como primeiro salva-vidas de Port Sarim!
Your death will be swift.;Sua morte será rápida.
5.5 Talking to Safalaan after creating the Ivandis flail;5.5 Conversando com Safalaan após criar o mangual Ivandis
'Our tribesmen are the children of the Fremennik of Rellekka. The parting was a bitter affair and the two groups never forgave each other.';“Nossos membros da tribo são filhos dos Fremennik de Rellekka. A separação foi amarga e os dois grupos nunca se perdoaram.
Repair the grindstone?;Reparar a pedra de amolar?
You... you moved her into the waterfall? That... that's the perfect place for her to be.;Você... você a levou para a cachoeira? Esse... esse é o lugar perfeito para ela estar.
Doll;Boneca
Looks like you already have some.;Parece que você já tem alguns.
Thank you. I will make sure she's given a proper burial now.;Obrigado. Vou garantir que ela tenha um enterro adequado agora.
So you'll help?;Então você vai ajudar?
(Player receives 5 energy potions.);(O jogador recebe 5 poções de energia.)
Carry on, it'll fix itself;Continue, isso vai se consertar
I saw Vanstrom Klause and Ranis Drakan arriving at the castle earlier. Do you know if they're still here?;Eu vi Vanstrom Klause e Ranis Drakan chegando ao castelo mais cedo. Você sabe se eles ainda estão aqui?
(Non-quest dialogue) Can you impart your wise knowledge to me, O Oracle?;(Diálogo fora da missão) Você pode me transmitir seu sábio conhecimento, ó Oráculo?
You hand the monk a jug of water.;Você entrega ao monge uma jarra de água.
Liar, thief!;Mentiroso, ladrão!
He should do. Just tell him I sent you.;Ele deveria fazer isso. Apenas diga a ele que eu mandei você.
Well she left not long before you got here. I didn't really speak to her but I did hear her mention something about catching a ship at Port Piscarilius.;Bem, ela saiu pouco antes de você chegar aqui. Na verdade, não falei com ela, mas a ouvi mencionar algo sobre pegar um navio em Porto Piscarilius.
The door is ornately carved with depictions of skeletal warriors. You notice that some of the skeletal warriors depictions are not complete.Instead, there are recesses where some of the bones should be. There is one recess.;A porta é esculpida com representações de guerreiros esqueléticos. Você percebe que algumas das representações dos guerreiros esqueléticos não estão completas. Em vez disso, há recessos onde alguns dos ossos deveriam estar. Existe um recesso.
Frank examines the thread from the crime scene.;Frank examina o fio da cena do crime.
But you said that only the first of us to solve it would pass!;Mas você disse que só o primeiro de nós a resolver iria passar!
4 Attempting to kill County Draynor without a stake in the inventory;4 Tentativa de matar County Draynor sem participação no inventário
Oh no! Sounds far too dangerous!;Oh não! Parece muito perigoso!
The ballista can break through the stronghold wall, and then we can advance and seize back the orb.;A balista pode romper a parede da fortaleza e então podemos avançar e recuperar o orbe.
How interesting... It would appear I spoke too soon. There's more to this talisman than meets the eye. In fact, it may well be the last piece of the puzzle.;Que interessante... Parece que falei cedo demais. Há mais neste talismã do que aparenta. Na verdade, pode muito bem ser a última peça do quebra-cabeça.
(End of cut scene.);(Fim da cena cortada.)
Hello Vertida.;Olá Vertida.
Perhaps our knowledge is beyond your understanding.;Talvez nosso conhecimento esteja além da sua compreensão.
I don't think it's done yet.;Acho que ainda não acabou.
What do we do? There's nothing we can do. Don't you see, Ivan? It's over. They've won.;O que fazemos? Não há nada que possamos fazer. Você não vê, Ivan? Acabou. Eles venceram.
The Pot is now coated with a thin layer of flour.;A panela agora está revestida com uma fina camada de farinha.
This page was last modified on 10 January 2023, at 07;Esta página foi modificada pela última vez em 10 de janeiro de 2023, às 07h00.
Grubfoot teleports away.;Grubfoot se teletransporta.
I'm afraid not. It only ever comes in the night, so we haven't been able to get a proper look at it.;Receio que não. Ele só aparece à noite, então não conseguimos dar uma boa olhada nele.
'Black-eye';'Olho roxo'
You found him! What do you want, little human?;Você o encontrou! O que você quer, pequeno humano?
The camera pans to the chompy area to the south;A câmera se move para a área agitada ao sul
I'm far too upset to talk to random people right now.;Estou muito chateado para falar com pessoas aleatórias agora.
Why yes - all my uncles are called Ali!;Sim, todos os meus tios se chamam Ali!
... So that was how I foiled the cultists in their plan to resurrect Hazeel.;... Então foi assim que frustrei os cultistas em seu plano de ressuscitar Hazeel.
What do you take me for? Some kind of pack yak?;Por que você me toma? Some kind of pack yak?
(If The Garden of Death is completed;(Se O Jardim da Morte for concluído
You take the book from the bookcase.;Você pega o livro da estante.
So you'd be able to send me right to the source?;Então você poderia me enviar direto para a fonte?
penguins?;pinguins?
Sorry, but I don't know.;Desculpe, mas não sei.
... and a lot of piranhas! I can't get the gauge out.;... e muitas piranhas! Não consigo tirar o medidor.
You match Anna's finger prints with those on the dagger found in the body of Lord Sinclair.;Você compara as impressões digitais de Anna com as da adaga encontrada no corpo de Lord Sinclair.
They are ancient and powerful beings! They are very evil! It is said that they once dominated this plane of existence, Zamorak was supposedly of their blood. They are far fewer in number now.;Eles são seres antigos e poderosos! Eles são muito malvados! Diz-se que uma vez eles dominaram este plano de existência, Zamorak era supostamente do sangue deles. Eles são muito menos numerosos agora.
Well on that note, what can you tell me about the Burning Man?;Bem, falando nisso, o que você pode me dizer sobre o Burning Man?
Now I must complete my task by defeating the great enemy.;Agora devo completar minha tarefa derrotando o grande inimigo.
But in the years I've been locked away, I've been plotting and scheming. When I escape from this cell....;Mas nos anos em que estive trancafiado, estive conspirando e planejando. Quando eu escapar desta cela....
Good morning.;Bom dia.
I'm glad you liked it, my [darling/dear].;Que bom que você gostou, meu [querido/querido].
She happened to be somewhere else when Crandor was destroyed, and she's had several owners since then. Not all of them have looked after her too well,;Ela estava em outro lugar quando Crandor foi destruído e teve vários proprietários desde então. Nem todos cuidaram dela muito bem,
Yes, that's right. The sheer number of trolls means that the best hope for the Colony is to gather our forces and wipe out all the trolls at once.;Sim, está certo. O grande número de trolls significa que a melhor esperança para a Colônia é reunir nossas forças e exterminar todos os trolls de uma vez.
Quest transcriptCold WarIncomplete without reasonIncomplete transcripts;Transcrição da missão Guerra FriaIncompleta sem motivoTranscrições incompletas
Can't risk you being a carrier. That protective clothing you have isn't regulation issue. It won't meet safety standards.;Não posso arriscar que você seja portador. Essa roupa de proteção que você tem não é uma questão de regulamentação. Não atenderá aos padrões de segurança.
5.1 Talking to Spria;5.1 Conversando com Spria
Start the Enlightened Journey quest?;Iniciar a missão Jornada Iluminada?
Enter the passage.;Entre na passagem.
Galana;Galana
Turn, and face me. I will not ask again.;Vire-se e fique de frente para mim. Não vou perguntar novamente.
Clearly you are a master smith, perhaps one of the best human smiths in all of Gielinor. Yet this is beyond even you.;Claramente você é um mestre ferreiro, talvez um dos melhores ferreiros humanos de toda Guilenor. No entanto, isso está além de você.
If you don't mind, I'd appreciate it if you'd not mention what we found here to Sedridor and the others until I'm ready.;Se não se importa, agradeceria se não mencionasse o que encontramos aqui para Sedridor e os outros até que eu esteja pronto.
Here's the dossier on the case.;Aqui está o dossiê do caso.
